,Points
University of Warwick,387.0152439024391
University of Southampton,237.1128048780488
Durham University,212.5762195121951
University of the West of England,199.4878048780488
Swansea University,199.4878048780488
Imperial College London,186.0
Lancaster University,185.08841463414635
King's College London,174.9512195121951
University College London,171.60060975609755
University of Kent,147.46341463414635
University of Portsmouth,133.97560975609755
University of Bath,133.97560975609755
University of East Anglia,133.97560975609755
University of Birmingham,133.97560975609755
Cardiff University,133.46341463414635
podbotsasdas,130.625
University of Bristol,130.625
Glasgow Caledonian University,130.625
University of Leeds,119.97560975609755
University of York,106.48780487804878
University of Cambridge,106.48780487804878
University of Surrey,106.48780487804878
University of Exeter,106.48780487804878
Loughborough University,106.48780487804878
University of Sussex,95.4390243902439
Heriot-Watt University,93.0
Queen's University Belfast,93.0
Aston University,93.0
University of Nottingham,81.4390243902439
Manchester Metropolitan University,54.463414634146346
Brunel University,54.463414634146346
Keele University,54.463414634146346
University of Strathclyde,54.463414634146346
University of Salford,54.463414634146346
FXU (Falmouth &amp; Exeter Student's Union),54.463414634146346
University of Plymouth,54.463414634146346
University of Manchester,54.463414634146346
"Royal Holloway, University of London",54.463414634146346
Bournemouth University,40.97560975609756
University of Lincoln,40.97560975609756
Coventry University,40.97560975609756
Northumbria University,40.97560975609756
Newcastle University,40.97560975609756
Nottingham Trent University,40.97560975609756
University of Hertfordshire,40.97560975609756
University of Reading,40.97560975609756
University of Sheffield,40.97560975609756
Queen Mary University of London,40.97560975609756
Birmingham City University,40.97560975609756
Ulster University,40.97560975609756
University of Glasgow,40.97560975609756
"City, University of London",40.97560975609756
University of Edinburgh,40.97560975609756
University of Bedfordshire,13.487804878048781
Roehampton University,13.487804878048781
University of West London,13.487804878048781
University of Aberdeen,13.487804878048781
Sheffield Hallam University,13.487804878048781
University of Liverpool,13.487804878048781
University of Gloucestershire,13.487804878048781
University of South Wales,13.487804878048781
Bangor University,13.487804878048781
London School of Economics,13.487804878048781
