,Points
University College London,149.625
University of Warwick,125.125
Lancaster University,111.29166666666667
Durham University,106.625
University of the West of England,106.625
University of Bath,106.625
University of Sussex,106.625
Queen's University Belfast,106.625
University of Sheffield,70.83333333333334
King's College London,61.5
University of Birmingham,43.0
Sheffield Hallam University,43.0
University of St Andrews,43.0
University of Southampton,43.0
University of Liverpool,43.0
Swansea University,43.0
University of East Anglia,43.0
University of Lincoln,18.5
Loughborough University,18.5
Oxford University,18.5
University of Glasgow,18.5
Imperial College London,18.5
Staffordshire University,18.5
University of Exeter,18.5
Cardiff University,4.666666666666667
University of York,4.666666666666667
University of Plymouth,4.666666666666667
"City, University of London",1.0
