Team 1,University
QUB Esports,Queen's University Belfast
Riot x2 Flankzy,University of Warwick
big boys,Newcastle University
The BenjyFishys,University of York
karteL,University of Warwick
Easy money,University of Hertfordshire
Soloxeter,University of Exeter
NTR,Lancaster University
Anne Fishy,University of Edinburgh
grown men,University of Nottingham
Solent Gamers,Southampton Solent University
Warwick Double Pump,University of Warwick
Staffs Slimes,Staffordshire University
the teamname field is required,University of Salford
Try Contest Roe,Roehampton University
rightlids,University College London
ScrambledEggHeads,Aston University
Jinx from Fortnite,Lancaster University
W Bots,Aston University
Naija,Coventry University
DU O,Durham University
Abertay University,University of Abertay Dundee
UWL Fortnite,University of West London
Durham Decimaters,Durham University
Keele Krakens,Keele University
Durham Dinos,Durham University
UOS Defaults,University of Stirling
we ball,University of Winchester
bruh,University College London
Birmingham Rings,University of Birmingham
BABA JEE,Bangor University
The Jhug Cugs,Durham University
Bristol Bagels v2,University of Bristol
council and cutlery ,University of Stirling
Cracked,Staffordshire University
