,Points
University of Warwick,91.33333333333333
Queen's University Belfast,50.0
Newcastle University,38.666666666666664
University of York,36.0
Lancaster University,34.33333333333333
University of Hertfordshire,30.666666666666664
University of Exeter,28.0
University of Edinburgh,22.666666666666664
University of Nottingham,20.0
Durham University,19.666666666666664
Aston University,18.0
Southampton Solent University,17.333333333333332
Staffordshire University,14.666666666666666
University of Salford,13.0
University College London,12.999999999999998
Roehampton University,11.666666666666666
Coventry University,8.0
University of Abertay Dundee,7.333333333333333
University of West London,6.666666666666666
Keele University,5.333333333333333
University of Stirling,4.666666666666667
University of Winchester,3.333333333333333
University of Birmingham,2.0
Bangor University,1.6666666666666665
University of Bristol,1.0
