,Points
University of Warwick,114.33333333333333
Queen's University Belfast,50.0
Lancaster University,36.666666666666664
University of Hertfordshire,36.0
University of Exeter,30.666666666666664
University of York,25.333333333333332
Staffordshire University,23.666666666666664
Durham University,22.666666666666664
University of Nottingham,20.0
University of Salford,17.333333333333332
Newcastle University,15.666666666666666
University of West London,14.333333333333332
Keele University,11.666666666666666
University College London,11.666666666666666
University of Stirling,10.666666666666666
Coventry University,10.333333333333332
University of Winchester,6.666666666666666
Aston University,6.0
Southampton Solent University,5.333333333333333
University of Birmingham,2.6666666666666665
Bangor University,2.0
University of Bristol,0.6666666666666666
University of Kent,0.3333333333333333
