,Points
Lancaster University,316.00431034482756
University of Leeds,245.45258620689654
Staffordshire University,210.72413793103448
University of Manchester,201.17672413793102
University of Glasgow,180.89655172413794
University of Sheffield,170.0
Durham University,141.52155172413794
De Montfort University,136.6206896551724
University of Lincoln,125.72413793103449
Heriot-Watt University,125.72413793103449
Keele University,114.82758620689656
University of Birmingham,106.79310344827587
University of York,106.79310344827587
University of Derby,85.0
University of Leicester,85.0
Nottingham Trent University,73.41379310344827
Sheffield Hallam University,70.55172413793103
Aston University,59.6551724137931
University of Nottingham,51.62068965517241
Loughborough University,40.724137931034484
Newcastle University,40.724137931034484
University of Liverpool,40.724137931034484
University of Sunderland,29.82758620689655
Birmingham City University,29.82758620689655
Teesside University,29.82758620689655
University of East Anglia,29.82758620689655
University of Hull,29.82758620689655
Liverpool John Moores University,29.82758620689655
University of Strathclyde,29.82758620689655
University of Huddersfield,29.82758620689655
University of St Andrews,29.82758620689655
University of Salford,21.79310344827586
Queen's University Belfast,10.89655172413793
Bangor University,10.89655172413793
Aberystwyth University,10.89655172413793
Northumbria University,10.89655172413793
