,Team Name,Team url,University
0,UoMT1,/tournaments/league-of-legends-winter-22-north/teams/uomt1/matches,University of Manchester
1,Always preferred...,/tournaments/league-of-legends-winter-22-north/teams/always-preferred-dota-2/matches,University of Leeds
2,KFC,/tournaments/league-of-legends-winter-22-north/teams/kfc/matches,Lancaster University
3,Keele Krakens,/tournaments/league-of-legends-winter-22-north/teams/keele-krakens/matches,Keele University
4,Ho Chi Minh City...,/tournaments/league-of-legends-winter-22-north/teams/ho-chi-minh-city-bungalows/matches,University of Sheffield
5,Ladcaster,/tournaments/league-of-legends-winter-22-north/teams/ladcaster/matches,Lancaster University
6,samj1046,/tournaments/league-of-legends-winter-22-north/teams/samj1046/matches,De Montfort University
7,Grizzly Glaswegians,/tournaments/league-of-legends-winter-22-north/teams/grizzly-glaswegians/matches,University of Glasgow
8,Goth Girls Ruined...,/tournaments/league-of-legends-winter-22-north/teams/goth-girls-ruined-my-life/matches,Nottingham Trent University
9,Tree House,/tournaments/league-of-legends-winter-22-north/teams/tree-house/matches,Staffordshire University
10,Durham Defenders,/tournaments/league-of-legends-winter-22-north/teams/durham-defenders/matches,Durham University
11,Queens Finest,/tournaments/league-of-legends-winter-22-north/teams/queens-finest/matches,University of Lincoln
12,Leicester Lobsters,/tournaments/league-of-legends-winter-22-north/teams/leicester-lobsters/matches,University of Leicester
13,ICUU,/tournaments/league-of-legends-winter-22-north/teams/icuu/matches,University of Sheffield
14,The Staffordshire...,/tournaments/league-of-legends-winter-22-north/teams/the-staffordshire-sixes/matches,Staffordshire University
15,white foxxx,/tournaments/league-of-legends-winter-22-north/teams/white-foxxx/matches,University of Glasgow
16,Team 33,,
17,The Orangutang Gang,/tournaments/league-of-legends-winter-22-north/teams/the-orangutang-gang-/matches,Loughborough University
18,Leeds Never Give Up,/tournaments/league-of-legends-winter-22-north/teams/leeds-never-give-up/matches,University of Leeds
19,Apokalypsis,/tournaments/league-of-legends-winter-22-north/teams/apokalypsis/matches,University of Huddersfield
20,DerbyCraptors,/tournaments/league-of-legends-winter-22-north/teams/derbycraptors/matches,University of Derby
21,Chicken Broth,/tournaments/league-of-legends-winter-22-north/teams/chicken-broth/matches,University of Manchester
22,AstonApesLOLY,/tournaments/league-of-legends-winter-22-north/teams/astonapeslol/matches,Aston University
23,McDonalds Esports,/tournaments/league-of-legends-winter-22-north/teams/mcdonalds-esports/matches,Lancaster University
24,Liiv Sandbrum,/tournaments/league-of-legends-winter-22-north/teams/liiv-sandbrum/matches,University of Birmingham
25,Liverpool party,/tournaments/league-of-legends-winter-22-north/teams/liverpool-party/matches,University of Liverpool
26,UoM Thirds,/tournaments/league-of-legends-winter-22-north/teams/uom-thirds/matches,University of Manchester
27,StefSucksLOL,/tournaments/league-of-legends-winter-22-north/teams/stefsuckslol/matches,University of Strathclyde
28,UEA Bluejays 2023,/tournaments/league-of-legends-winter-22-north/teams/uea-bluejays-2023/matches,University of East Anglia
29,Kited By Scuttle,/tournaments/league-of-legends-winter-22-north/teams/kited-by-scuttle/matches,University of York
30,STAGS,/tournaments/league-of-legends-winter-22-north/teams/stags/matches,University of St Andrews
31,Watt Wyverns,/tournaments/league-of-legends-winter-22-north/teams/watt-wyverns-/matches,Heriot-Watt University
32,NUEL Nottingham Team,/tournaments/league-of-legends-winter-22-north/teams/nuel-nottingham-team/matches,University of Nottingham
33,Broken Stopwatch,/tournaments/league-of-legends-winter-22-north/teams/broken-stopwatch/matches,University of Leeds
34,Emotional Damage...,/tournaments/league-of-legends-winter-22-north/teams/emotional-damage-gaming/matches,Heriot-Watt University
35,Aston Esports 2,/tournaments/league-of-legends-winter-22-north/teams/aston-esports-2/matches,Aston University
36,My Beautiful Dark...,/tournaments/league-of-legends-winter-22-north/teams/my-beautiful-dark-twisted-krug/matches,Lancaster University
37,Bussin Bussin On...,/tournaments/league-of-legends-winter-22-north/teams/bussin-bussin-on-god-on-god-123-a/matches,University of Hull
38,Team 77,,
39,Caster Minions,/tournaments/league-of-legends-winter-22-north/teams/caster-minions/matches,Lancaster University
40,Team Pocket Yummi...,/tournaments/league-of-legends-winter-22-north/teams/team-pocket-yummi-jungle/matches,Liverpool John Moores University
41,Sultans Esports,/tournaments/league-of-legends-winter-22-north/teams/sultans-esports/matches,Lancaster University
42,DMU Drakes,/tournaments/league-of-legends-winter-22-north/teams/dmu-drakes/matches,De Montfort University
43,Army of the...,/tournaments/league-of-legends-winter-22-north/teams/army-of-the-teenytiny-queen/matches,University of Birmingham
44,noob team,/tournaments/league-of-legends-winter-22-north/teams/noob-team/matches,Teesside University
45,Divine Sunderland...,/tournaments/league-of-legends-winter-22-north/teams/divine-sunderland-sausages/matches,University of Sunderland
46,BCU Gaming,/tournaments/league-of-legends-winter-22-north/teams/bcu-gaming/matches,Birmingham City University
47,Pier Thressure,/tournaments/league-of-legends-winter-22-north/teams/pier-thressure/matches,Aberystwyth University
48,The Washington...,/tournaments/league-of-legends-winter-22-north/teams/the-washington-redskins/matches,Nottingham Trent University
49,The Top Fillosophy,/tournaments/league-of-legends-winter-22-north/teams/team1/matches,Newcastle University
50,QUB Cardinal,/tournaments/league-of-legends-winter-22-north/teams/qub-cardinal/matches,Queen's University Belfast
51,Saigon Buffalo,/tournaments/league-of-legends-winter-22-north/teams/saigon-buffalo-/matches,Durham University
52,Keele Diff,/tournaments/league-of-legends-winter-22-north/teams/keele-diff/matches,Keele University
53,Northumbria...,/tournaments/league-of-legends-winter-22-north/teams/northumbria-vikings-2022/matches,Northumbria University
54,DMU Team 1,/tournaments/league-of-legends-winter-22-north/teams/dmu-team-1/matches,De Montfort University
55,Salford Kings UwU,/tournaments/league-of-legends-winter-22-north/teams/salford-kings-uwu/matches,University of Salford
56,Scoob and The Gang,/tournaments/league-of-legends-winter-22-north/teams/uob-lol-team-3/matches,University of Birmingham
57,Durham Dubs,/tournaments/league-of-legends-winter-22-north/teams/durham-dubs/matches,Durham University
58,Next Generation...,/tournaments/league-of-legends-winter-22-north/teams/next-generation-gaming-/matches,Staffordshire University
59,The Hecarim Special,/tournaments/league-of-legends-winter-22-north/teams/-fyee-fi-fyee/matches,Sheffield Hallam University
60,LongDong Silvers,/tournaments/league-of-legends-winter-22-north/teams/longdong-silvers/matches,University of York
61,Gromp Gang,/tournaments/league-of-legends-winter-22-north/teams/gromp-gang-/matches,Durham University
62,Bangor Team 1,/tournaments/league-of-legends-winter-22-north/teams/bangor-team-1/matches,Bangor University
63,Fortnite Battle Pass,/tournaments/league-of-legends-winter-22-north/teams/fortnite-battle-pass/matches,University of Lincoln
64,Team 129,,
65,WE LOSE EVERY WEEK,/tournaments/league-of-legends-winter-22-north/teams/we-lose-every-week/matches,Loughborough University
66,Poro Penguins,/tournaments/league-of-legends-winter-22-north/teams/poro-penguins-/matches,Nottingham Trent University
67,Hallam Inters 2023,/tournaments/league-of-legends-winter-22-north/teams/hallam-inters-2023/matches,Sheffield Hallam University
68,SHUUUUUUUUUU,/tournaments/league-of-legends-winter-22-north/teams/shuuuuuuuuuu/matches,Sheffield Hallam University
69,Blue Ice Peppers,/tournaments/league-of-legends-winter-22-north/teams/cavemen/matches,University of Manchester
70,3p Rammus,/tournaments/league-of-legends-winter-22-north/teams/3p-rammus/matches,Nottingham Trent University
71,Glasgow...,/tournaments/league-of-legends-winter-22-north/teams/glasgow--floormunchers/matches,University of Glasgow
72,StAGS II,/tournaments/league-of-legends-winter-22-north/teams/stags-ii/matches,University of St Andrews
73,DeMoted,/tournaments/league-of-legends-winter-22-north/teams/demoted/matches,De Montfort University
74,VI AYE MAN,/tournaments/league-of-legends-winter-22-north/teams/vi-aye-man/matches,Newcastle University
75,NottVeryGood,/tournaments/league-of-legends-winter-22-north/teams/nottverygood/matches,University of Nottingham
76,Staffs Silver...,/tournaments/league-of-legends-winter-22-north/teams/staffs-silver-surfers-/matches,Staffordshire University
77,Durham...,/tournaments/league-of-legends-winter-22-north/teams/durham-disappointments/matches,Durham University
78,League Rehab,/tournaments/league-of-legends-winter-22-north/teams/league-rehab-/matches,Edge Hill University
79,Lincoln League,/tournaments/league-of-legends-winter-22-north/teams/lincoln-league/matches,University of Lincoln
80,Aston Esports 3,/tournaments/league-of-legends-winter-22-north/teams/aston-esports-3/matches,Aston University
81,Abertay Alliance,/tournaments/league-of-legends-winter-22-north/teams/abertay-alliance/matches,University of Abertay Dundee
82,Plastic 4,/tournaments/league-of-legends-winter-22-north/teams/plastic-4/matches,University of Abertay Dundee
83,Leeds Beckett Bears,/tournaments/league-of-legends-winter-22-north/teams/leeds-beckett-bears/matches,Leeds Beckett University
84,Team 169,,
85,Rubber Turkeys,/tournaments/league-of-legends-winter-22-north/teams/rubber-turkeys/matches,Nottingham Trent University
86,Spreadsheet Esports,/tournaments/league-of-legends-winter-22-north/teams/spreadsheet-esports/matches,University of Leeds
87,Watt Wyverns Team 3,/tournaments/league-of-legends-winter-22-north/teams/watt-wyverns-team-3/matches,Heriot-Watt University
88,Alvin and the Jacks,/tournaments/league-of-legends-winter-22-north/teams/alvin-and-the-jacks-/matches,University of York
89,UEA Owls,/tournaments/league-of-legends-winter-22-north/teams/uea-owls/matches,University of East Anglia
90,Bust a nott,/tournaments/league-of-legends-winter-22-north/teams/bust-a-nott/matches,University of Nottingham
