,Team Name,Team url,University
0,Grey Warwick,/tournaments/league-of-legends-winter-22-south/teams/grey-warwick/matches,University of Warwick
1,EXE Machina,/tournaments/league-of-legends-winter-22-south/teams/exe-machina/matches,University of Exeter
2,Bristol Bottoms,/tournaments/league-of-legends-winter-22-south/teams/bristol-bottoms/matches,University of Bristol
3,The Germs,/tournaments/league-of-legends-winter-22-south/teams/the-germs/matches,University of Kent
4,UCL Exodus,/tournaments/league-of-legends-winter-22-south/teams/ucl/matches,University College London
5,Kent Cuties,/tournaments/league-of-legends-winter-22-south/teams/kent-cuties/matches,University of Kent
6,APT,/tournaments/league-of-legends-winter-22-south/teams/apt/matches,London School of Economics
7,Jheigar,/tournaments/league-of-legends-winter-22-south/teams/jheigar/matches,University of Southampton
8,Kent Berserkes,/tournaments/league-of-legends-winter-22-south/teams/kent-berserkes/matches,University of Kent
9,Roehampton Fairies,/tournaments/league-of-legends-winter-22-south/teams/roehampton-fairies/matches,Roehampton University
10,SVGE Team 2,/tournaments/league-of-legends-winter-22-south/teams/svge-team-2/matches,University of Southampton
11,Definitely Not...,/tournaments/league-of-legends-winter-22-south/teams/definitely-not-warwick/matches,University of Warwick
12,Westminster...,/tournaments/league-of-legends-winter-22-south/teams/westminster-dragons-party/matches,University of Westminster
13,Alis acrack addicts,/tournaments/league-of-legends-winter-22-south/teams/alis-acrack-addicts/matches,University of Bath
14,Demolition,/tournaments/league-of-legends-winter-22-south/teams/demolition/matches,University of Hertfordshire
15,Cov Uni,/tournaments/league-of-legends-winter-22-south/teams/cov-uni/matches,Coventry University
16,Team 33,,
17,Cardiff Cavaliers,/tournaments/league-of-legends-winter-22-south/teams/cardiff-team-2/matches,Cardiff University
18,bg,/tournaments/league-of-legends-winter-22-south/teams/bg/matches,Queen Mary University of London
19,Cardiff Crusaders,/tournaments/league-of-legends-winter-22-south/teams/cardiff-crusaders/matches,Cardiff University
20,OwOxford OwOwls,/tournaments/league-of-legends-winter-22-south/teams/owoxford-owowls/matches,Oxford University
21,UAL Unicorns,/tournaments/league-of-legends-winter-22-south/teams/ual-unicorns/matches,University of the Arts London
22,Rios Piri Piri...,/tournaments/league-of-legends-winter-22-south/teams/rios-piri-piri-warwick/matches,University of Warwick
23,KCL Balls,/tournaments/league-of-legends-winter-22-south/teams/kcl-balls/matches,King's College London
24,Team Diff,/tournaments/league-of-legends-winter-22-south/teams/brunel-2/matches,Brunel University
25,FLX Phoenix,/tournaments/league-of-legends-winter-22-south/teams/flx-phoenix/matches,FXU (Falmouth &amp; Exeter Student's Union)
26,Imperial Bonobos,/tournaments/league-of-legends-winter-22-south/teams/imperial-bonobos/matches,Imperial College London
27,Jays Jaybirds,/tournaments/league-of-legends-winter-22-south/teams/jays-jaybirds/matches,University of Bath
28,Reading Knightsss,/tournaments/league-of-legends-winter-22-south/teams/reading-knightsss/matches,University of Reading
29,Height Impaired...,/tournaments/league-of-legends-winter-22-south/teams/height-impaired-kings/matches,King's College London
30,Big Bad Warwick,/tournaments/league-of-legends-winter-22-south/teams/big-bad-warwick/matches,University of Warwick
31,2nd Week Worlds FNC,/tournaments/league-of-legends-winter-22-south/teams/2nd-week-worlds-fnc/matches,King's College London
32,Nothing Like Come...,/tournaments/league-of-legends-winter-22-south/teams/nothing-like-come-warwick-/matches,University of Warwick
33,Firefang Warwick,/tournaments/league-of-legends-winter-22-south/teams/firefang-warwick/matches,University of Warwick
34,Rift Clappers,/tournaments/league-of-legends-winter-22-south/teams/rift-clappers/matches,University of Sussex
35,CES Dragons,/tournaments/league-of-legends-winter-22-south/teams/ces-dragons/matches,"City, University of London"
