,Team Name,Team url,University,Seeds
0,UAL Unicorns,/tournaments/league-of-legends-winter-22-south/teams/ual-unicorns/matches,University of the Arts London,5.0
1,KCL Balls,/tournaments/league-of-legends-winter-22-south/teams/kcl-balls/matches,King's College London,7.0
2,Team 5,,,
3,Cardiff Crusaders,/tournaments/league-of-legends-winter-22-south/teams/cardiff-crusaders/matches,Cardiff University,3.0
4,Cardiff Cavaliers,/tournaments/league-of-legends-winter-22-south/teams/cardiff-team-2/matches,Cardiff University,1.0
5,Rift Assassins,/tournaments/league-of-legends-winter-22-south/teams/rift-assassins/matches,University of Sussex,35.0
6,CES Dragons,/tournaments/league-of-legends-winter-22-south/teams/ces-dragons/matches,"City, University of London",19.0
7,Match #90938 Winner,,,
8,OwOxford OwOwls,/tournaments/league-of-legends-winter-22-south/teams/owoxford-owowls/matches,Oxford University,4.0
9,South Kensington...,/tournaments/league-of-legends-winter-22-south/teams/south-kensington-beggars/matches,Imperial College London,30.0
10,Imperial Bonobos,/tournaments/league-of-legends-winter-22-south/teams/imperial-bonobos/matches,Imperial College London,10.0
11,Team 23,,,
12,Rios Piri Piri...,/tournaments/league-of-legends-winter-22-south/teams/rios-piri-piri-warwick/matches,University of Warwick,6.0
13,Plymouth...,/tournaments/league-of-legends-winter-22-south/teams/plymouth-leviathans-team-1/matches,University of Plymouth,26.0
14,Team Diff,/tournaments/league-of-legends-winter-22-south/teams/brunel-2/matches,Brunel University,8.0
15,Match #90938 Loser,,,
16,Jays Jaybirds,/tournaments/league-of-legends-winter-22-south/teams/jays-jaybirds/matches,University of Bath,11.0
17,Height Impaired...,/tournaments/league-of-legends-winter-22-south/teams/height-impaired-kings/matches,King's College London,13.0
18,Simperial,/tournaments/league-of-legends-winter-22-south/teams/simperial/matches,Imperial College London,79.0
19,bg,/tournaments/league-of-legends-winter-22-south/teams/bg/matches,Queen Mary University of London,2.0
20,Big Bad Warwick,/tournaments/league-of-legends-winter-22-south/teams/big-bad-warwick/matches,University of Warwick,14.0
21,Surrey Wardens,/tournaments/league-of-legends-winter-22-south/teams/surrey-wardens-22/matches,University of Surrey,47.0
22,Reading Knightsss,/tournaments/league-of-legends-winter-22-south/teams/reading-knightsss/matches,University of Reading,12.0
23,BUilt Different,/tournaments/league-of-legends-winter-22-south/teams/built-different/matches,Bournemouth University,84.0
24,Bath Salts,/tournaments/league-of-legends-winter-22-south/teams/bath-salts/matches,University of Bath,24.0
25,FLX Phoenix,/tournaments/league-of-legends-winter-22-south/teams/flx-phoenix/matches,FXU (Falmouth &amp; Exeter Student's Union),9.0
26,Rift Clappers,/tournaments/league-of-legends-winter-22-south/teams/rift-clappers/matches,University of Sussex,18.0
27,Bristol Bamboozles,/tournaments/league-of-legends-winter-22-south/teams/bristol-bamboozles/matches,University of Bristol,27.0
28,Match #90952 Winner,,,
29,Match #90953 Winner,,,
30,Team 61,,,
31,Match #90953 Loser,,,
32,Match #90952 Loser,,,
33,Voidlings,/tournaments/league-of-legends-winter-22-south/teams/voidlings/matches,King's College London,54.0
34,Bristol Boosted,/tournaments/league-of-legends-winter-22-south/teams/bristol-boosted/matches,University of Bristol,25.0
35,Reading baddest...,/tournaments/league-of-legends-winter-22-south/teams/reading-baddest-bad-lads-2022/matches,University of Reading,36.0
36,UWE Sea Stags,/tournaments/league-of-legends-winter-22-south/teams/uwe-sea-stags/matches,University of the West of England,51.0
37,Stand Our Ground,/tournaments/league-of-legends-winter-22-south/teams/stand-our-ground/matches,Bournemouth University,23.0
38,EXEperiencing Pain,/tournaments/league-of-legends-winter-22-south/teams/exeperiencing-pain/matches,University of Exeter,49.0
39,number 1 victory...,/tournaments/league-of-legends-winter-22-south/teams/number-1-victory-royale/matches,Coventry University,21.0
40,UWE Sea Stags Black,/tournaments/league-of-legends-winter-22-south/teams/uwe-sea-stags-black/matches,University of the West of England,41.0
41,Plymouth...,/tournaments/league-of-legends-winter-22-south/teams/plymouth-leviathans-team-3/matches,University of Plymouth,80.0
42,Firefang Warwick,/tournaments/league-of-legends-winter-22-south/teams/firefang-warwick/matches,University of Warwick,17.0
43,Swansea Tempest,/tournaments/league-of-legends-winter-22-south/teams/swansea-tempest/matches,Swansea University,44.0
44,Plymouth...,/tournaments/league-of-legends-winter-22-south/teams/plymouth-leviathans-team-5/matches,University of Plymouth,73.0
45,in your walls,/tournaments/league-of-legends-winter-22-south/teams/in-your-walls/matches,University of Northampton,46.0
46,Plymouth...,/tournaments/league-of-legends-winter-22-south/teams/plymouth-leviathans-team-4-/matches,University of Plymouth,42.0
47,Pot of Greed,/tournaments/league-of-legends-winter-22-south/teams/pot-of-greed/matches,University of South Wales,83.0
48,Southamptons...,/tournaments/league-of-legends-winter-22-south/teams/svge-team-7/matches,University of Southampton,50.0
49,Match #90960 Winner,,,
50,Match #90961 Winner,,,
51,We Dont Care,/tournaments/league-of-legends-winter-22-south/teams/we-dont-care/matches,Coventry University,55.0
52,Lprio,/tournaments/league-of-legends-winter-22-south/teams/lprio-/matches,Brunel University,34.0
53,SoloQMUL,/tournaments/league-of-legends-winter-22-south/teams/god-favourite/matches,Queen Mary University of London,64.0
54,RoyalBears,/tournaments/league-of-legends-winter-22-south/teams/royalbears/matches,"Royal Holloway, University of London",57.0
55,UOG Contenders,/tournaments/league-of-legends-winter-22-south/teams/uog-contenders/matches,University of Gloucestershire,92.0
56,Surreyender at 15,/tournaments/league-of-legends-winter-22-south/teams/surreyender-at-15/matches,University of Surrey,61.0
57,CES Hydras,/tournaments/league-of-legends-winter-22-south/teams/ces-hydras/matches,"City, University of London",59.0
58,Team 117,,,
59,Gray Warwick,/tournaments/league-of-legends-winter-22-south/teams/gray-warwick/matches,University of Warwick,58.0
60,EXEtension Cord,/tournaments/league-of-legends-winter-22-south/teams/over-exetenders/matches,University of Exeter,72.0
61,BCU Underdogs,/tournaments/league-of-legends-winter-22-south/teams/bcu-underdogs/matches,Birmingham City University,62.0
62,Cardiff Canaries,/tournaments/league-of-legends-winter-22-south/teams/cardiff-canaries/matches,Cardiff University,63.0
63,Cambridge Ravens B,/tournaments/league-of-legends-winter-22-south/teams/cambridge-ravens-b/matches,University of Cambridge,87.0
64,Falmouth Phoenix...,/tournaments/league-of-legends-winter-22-south/teams/falmouth-phoenix-bears/matches,FXU (Falmouth &amp; Exeter Student's Union),86.0
65,Jhinchester...,/tournaments/league-of-legends-winter-22-south/teams/jhinchester-jharriors/matches,University of Winchester,53.0
66,Match #90961 Loser,,,
67,Match #90960 Loser,,,
68,Swansea Little...,/tournaments/league-of-legends-winter-22-south/teams/swansea-little-pogchamps/matches,Swansea University,68.0
69,Iron Forged,/tournaments/league-of-legends-winter-22-south/teams/ironforged/matches,University of Kent,69.0
70,Feral Warwick,/tournaments/league-of-legends-winter-22-south/teams/feral-warwick/matches,University of Warwick,40.0
71,Iron Swan Wings_ISW,/tournaments/league-of-legends-winter-22-south/teams/iron-swan-wingsisw/matches,Swansea University,43.0
72,OBG Cassiopias boots,/tournaments/league-of-legends-winter-22-south/teams/obg-cassiopias-boots/matches,Oxford Brookes University,45.0
73,GrindSett,/tournaments/league-of-legends-winter-22-south/teams/grindsett/matches,University of Hertfordshire,76.0
74,Silver Warriors,/tournaments/league-of-legends-winter-22-south/teams/silver-warriors/matches,Brunel University,89.0
75,No Aim No Brain,/tournaments/league-of-legends-winter-22-south/teams/plymouth-leviathans-team-2/matches,University of Plymouth,94.0
76,Solent Crackheads,/tournaments/league-of-legends-winter-22-south/teams/solent-crackheads/matches,Southampton Solent University,71.0
77,Tech Park Tyrants,/tournaments/league-of-legends-winter-22-south/teams/tech-park-tyrants/matches,University of Chichester,70.0
78,Essex Team 2,/tournaments/league-of-legends-winter-22-south/teams/essex-team-2/matches,University of Essex,81.0
79,Surrely we wont lose,/tournaments/league-of-legends-winter-22-south/teams/surrely-we-wont-lose/matches,University of Surrey,57.0
80,Oxford Integrals,/tournaments/league-of-legends-winter-22-south/teams/oxford-integrals/matches,Oxford University,39.0
81,Roehampton Gnomes,/tournaments/league-of-legends-winter-22-south/teams/roehampton-gnomes/matches,Roehampton University,84.0
82,Team 165,,,
83,For Fun Warwick,/tournaments/league-of-legends-winter-22-south/teams/for-fun-warwick/matches,University of Warwick,66.0
84,Crazy Big Damage,/tournaments/league-of-legends-winter-22-south/teams/svge-team-6/matches,University of Southampton,56.0
85,UWL Wyverns,/tournaments/league-of-legends-winter-22-south/teams/uwl-wyverns/matches,University of West London,82.0
86,OrnnHub,/tournaments/league-of-legends-winter-22-south/teams/ornnhub/matches,"Royal Holloway, University of London",88.0
87,Marauder Warwick,/tournaments/league-of-legends-winter-22-south/teams/marauder-warwick/matches,University of Warwick,60.0
88,Falmouth Phoenix...,/tournaments/league-of-legends-winter-22-south/teams/falmouth-phoenix-turtle-/matches,FXU (Falmouth &amp; Exeter Student's Union),91.0
89,UAL UNICORNS 2,/tournaments/league-of-legends-winter-22-south/teams/ual-unicorns-2/matches,University of the Arts London,78.0
90,Cardiff Conquerors,/tournaments/league-of-legends-winter-22-south/teams/team-4/matches,Cardiff University,77.0
91,Falmouth Phoenix...,/tournaments/league-of-legends-winter-22-south/teams/falmouth-phoenix-tiger/matches,FXU (Falmouth &amp; Exeter Student's Union),90.0
92,Team 185,,,
93,Team 1,/tournaments/league-of-legends-winter-22-south/teams/team-1/matches,King's College London,94.0
94,Liiv Sandbrum,/tournaments/league-of-legends-winter-22-north/teams/liiv-sandbrum/matches,University of Birmingham,8.0
95,STAGS,/tournaments/league-of-legends-winter-22-north/teams/stags/matches,University of St Andrews,14.0
96,Team 5,,,
97,McDonalds Esports,/tournaments/league-of-legends-winter-22-north/teams/mcdonalds-esports/matches,Lancaster University,7.0
98,UEA Bluejays 2023,/tournaments/league-of-legends-winter-22-north/teams/uea-bluejays-2023/matches,University of East Anglia,12.0
99,Kited By Scuttle,/tournaments/league-of-legends-winter-22-north/teams/kited-by-scuttle/matches,University of York,13.0
100,Match #90903 Winner,,,
101,Aston Esports 2,/tournaments/league-of-legends-winter-22-north/teams/aston-esports-2/matches,Aston University,19.0
102,Match #90905 Winner,,,
103,Liverpool party,/tournaments/league-of-legends-winter-22-north/teams/liverpool-party/matches,University of Liverpool,9.0
