,Points
University of Warwick,307.0
University of the West of England,230.0
University of Liverpool,206.0
University of Lincoln,180.0
Durham University,176.0
University of York,166.0
Manchester Metropolitan University,155.0
University of Southampton,151.0
University of Bristol,141.0
Staffordshire University,131.0
Swansea University,127.0
Bournemouth University,127.0
University of Birmingham,127.0
University of Leeds,127.0
University of Sheffield,127.0
University of Abertay Dundee,127.0
Oxford University,117.0
University of Hull,117.0
University of Kent,117.0
Cardiff University,117.0
University of Plymouth,117.0
University of Glasgow,111.0
Leeds Beckett University,103.0
Roehampton University,103.0
"Royal Holloway, University of London",103.0
Lancaster University,103.0
University of Essex,103.0
King's College London,103.0
University of Manchester,103.0
University of Portsmouth,103.0
University of Sussex,98.0
University of Bath,98.0
University of Exeter,97.0
FXU (Falmouth &amp; Exeter Student's Union),91.0
Teesside University,87.0
Newcastle University,87.0
University of East Anglia,87.0
University of Dundee,73.0
Keele University,63.0
Nottingham Trent University,62.0
University of Leicester,49.0
Queen Mary University of London,49.0
Bath Spa University,49.0
Brunel University,49.0
Heriot-Watt University,49.0
University of Strathclyde,49.0
Glasgow Caledonian University,49.0
Imperial College London,49.0
University of Chichester,49.0
University of Edinburgh,49.0
University of Surrey,38.0
Birmingham City University,38.0
University of Northampton,38.0
De Montfort University,38.0
Bangor University,24.0
University of West London,24.0
Leeds Conservatoire,24.0
University College London,24.0
"City, University of London",24.0
Loughborough University,24.0
University of Bedfordshire,24.0
Aberystwyth University,24.0
University of Derby,24.0
University of Brighton,24.0
University of Salford,24.0
University of St Andrews,24.0
University of Cambridge,24.0
University of Nottingham,24.0
College of Esports,14.0
Sheffield Hallam University,14.0
Northumbria University,14.0
Queen's University Belfast,14.0
University of Huddersfield,14.0
York St John University,14.0
