,Points
University of Warwick,345.09952142074616
Staffordshire University,189.60802629302887
University of Portsmouth,189.60802629302887
University of the West of England,185.00643631436313
University of Leeds,173.15277777777777
University of Liverpool,173.15277777777777
Manchester Metropolitan University,171.94674364296836
Oxford University,165.90070921985816
Durham University,160.093085106383
University of Southampton,160.093085106383
University of York,160.093085106383
University of Sheffield,147.71270108977686
University of Abertay Dundee,135.8590425531915
University of Plymouth,135.8590425531915
University of Lincoln,134.90921409214093
University of Bristol,134.90921409214093
University of Hull,123.47865853658537
Bournemouth University,123.05555555555556
University of East Anglia,123.05555555555556
University of Sussex,123.05555555555556
"Royal Holloway, University of London",111.625
University of Essex,111.625
Lancaster University,111.625
University of Exeter,109.99586288416076
Cardiff University,109.46913740414001
Nottingham Trent University,97.61547886755464
Newcastle University,97.61547886755464
Swansea University,85.76182033096927
University of Birmingham,85.76182033096927
University of Bath,85.76182033096927
Teesside University,85.23509485094851
University of Kent,85.23509485094851
University of Manchester,73.38143631436314
University of Glasgow,72.17540217955371
University of Cambridge,61.52777777777778
University of Strathclyde,61.52777777777778
Roehampton University,61.52777777777778
University of Edinburgh,61.52777777777778
University of Chichester,61.52777777777778
University of St Andrews,61.52777777777778
Keele University,61.52777777777778
Glasgow Caledonian University,61.52777777777778
Leeds Beckett University,61.52777777777778
University of Nottingham,61.52777777777778
Queen Mary University of London,61.52777777777778
King's College London,61.52777777777778
University of Dundee,48.46808510638298
Birmingham City University,48.46808510638298
FXU (Falmouth &amp; Exeter Student's Union),36.08770108977686
University of Northampton,36.08770108977686
Bath Spa University,36.08770108977686
York St John University,35.5609756097561
Queen's University Belfast,24.23404255319149
Northumbria University,24.23404255319149
University of Bedfordshire,24.23404255319149
Bangor University,24.23404255319149
De Montfort University,24.23404255319149
University of Salford,24.23404255319149
University of Brighton,24.23404255319149
Brunel University,24.23404255319149
Aberystwyth University,24.23404255319149
Imperial College London,24.23404255319149
University of Leicester,24.23404255319149
Heriot-Watt University,24.23404255319149
Sheffield Hallam University,24.23404255319149
University of Derby,24.23404255319149
University of Huddersfield,23.70731707317073
Loughborough University,11.853658536585366
Southampton Solent University,11.853658536585366
College of Esports,11.853658536585366
Liverpool John Moores University,11.853658536585366
University of the Arts London,11.853658536585366
University of Westminster,11.853658536585366
University College London,11.853658536585366
Leeds Conservatoire,11.853658536585366
University of West London,11.853658536585366
University of Surrey,11.853658536585366
"City, University of London",11.853658536585366
