,Points
Swansea University,234.0
University of Warwick,208.0
Durham University,145.0
University of Edinburgh,117.0
University of Exeter,107.0
Staffordshire University,104.0
Queen's University Belfast,104.0
King's College London,104.0
Nottingham Trent University,104.0
University of Leicester,104.0
Bournemouth University,104.0
Heriot-Watt University,104.0
"Royal Holloway, University of London",104.0
University of Nottingham,104.0
Imperial College London,54.0
University of Chichester,54.0
University of Birmingham,44.0
University of Portsmouth,44.0
University of Southampton,44.0
University of Kent,41.0
University of Reading,41.0
Cardiff University,41.0
Anglia Ruskin University,41.0
Loughborough University,41.0
University College London,41.0
Newcastle University,41.0
"City, University of London",41.0
University of Liverpool,41.0
University of West London,41.0
University of Essex,13.0
University of Bath,13.0
University of Dundee,13.0
Lancaster University,13.0
University of Abertay Dundee,13.0
University of Bristol,13.0
Coventry University,13.0
University of Leeds,13.0
University of Hull,13.0
University of the West of England,13.0
University of Stirling,13.0
University of Glasgow,13.0
University of East Anglia,3.0
Aston University,3.0
University of Plymouth,3.0
De Montfort University,3.0
University of Manchester,1.0
