,Team Name,Team url,University,Seeds,Uni seeds
0,TRENT WARFARE,/tournaments/rainbow-6-siege-winter-22/teams/trent-warfare/matches,Nottingham Trent University,4.0,1
1,Pew Pew,/tournaments/rainbow-6-siege-winter-22/teams/bottom-ps/matches,Staffordshire University,2.0,1
2,Team 5,,,,0
3,UAL Teddy Bears,/tournaments/rainbow-6-siege-winter-22/teams/ual-teddy-bears/matches,University of the Arts London,14.0,1
4,Swansea Storm,/tournaments/rainbow-6-siege-winter-22/teams/swansea-storm/matches,Swansea University,1.0,1
5,Kornelijus Kuzmickas,/tournaments/rainbow-6-siege-winter-22/teams/the-itchy-clan-/matches,"Royal Holloway, University of London",28.0,1
6,Durham Defenders,/tournaments/rainbow-6-siege-winter-22/teams/durham-defenders/matches,Durham University,6.0,1
7,Watt Wyverns,/tournaments/rainbow-6-siege-winter-22/teams/watt-wyverns-4189/matches,Heriot-Watt University,10.0,1
8,The Golden Castles,/tournaments/rainbow-6-siege-winter-22/teams/the-golden-castles/matches,University of Nottingham,9.0,1
9,Barracudas,/tournaments/rainbow-6-siege-winter-22/teams/barracudas/matches,Bournemouth University,18.0,1
10,Volvic touch of...,/tournaments/rainbow-6-siege-winter-22/teams/volvic-touch-of-fruit-lemon/matches,Swansea University,16.0,2
11,QUB Valkyries,/tournaments/rainbow-6-siege-winter-22/teams/qub-valkyries/matches,Queen's University Belfast,22.0,1
12,Edinburgh Eclipse,/tournaments/rainbow-6-siege-winter-22/teams/edinburgh-eclipse/matches,University of Edinburgh,21.0,1
13,Team 27,,,,0
14,Warwick Esports,/tournaments/rainbow-6-siege-winter-22/teams/blue-charm-collectors/matches,University of Warwick,3.0,1
15,Birmingham Bruhmmies,/tournaments/rainbow-6-siege-winter-22/teams/birmingham-bruhmmies/matches,University of Birmingham,20.0,1
16,NewB Castle,/tournaments/rainbow-6-siege-winter-22/teams/newb-castle/matches,Newcastle University,31.0,1
17,Readiculously lost,/tournaments/rainbow-6-siege-winter-22/teams/readiculously-lost/matches,University of Reading,32.0,1
18,UWE Sea stags,/tournaments/rainbow-6-siege-winter-22/teams/uwe-sea-stags/matches,University of the West of England,15.0,1
19,Hull Hornets,/tournaments/rainbow-6-siege-winter-22/teams/hull-hornets/matches,University of Hull,24.0,1
20,CES Dragons,/tournaments/rainbow-6-siege-winter-22/teams/ces-dragons/matches,"City, University of London",13.0,1
21,Phoenix Fire,/tournaments/rainbow-6-siege-winter-22/teams/phoenix-fire/matches,Coventry University,19.0,1
22,Luff n Thunder,/tournaments/rainbow-6-siege-winter-22/teams/luff-n-thunder/matches,Loughborough University,12.0,1
23,PORTSMOUTH PALADINS,/tournaments/rainbow-6-siege-winter-22/teams/portsmouth-paladins/matches,University of Portsmouth,17.0,1
24,STG,/tournaments/rainbow-6-siege-winter-22/teams/stg/matches,University of Southampton,45.0,1
25,Stinky Thatcher...,/tournaments/rainbow-6-siege-winter-22/teams/stinky-thatcher-deniers/matches,University of Chichester,53.0,2
26,UWL Wyverns,/tournaments/rainbow-6-siege-winter-22/teams/uwl-wyverns/matches,University of West London,58.0,1
27,Warwick Wolves,/tournaments/rainbow-6-siege-winter-22/teams/warwick-esports-team-2/matches,University of Warwick,26.0,2
28,We Wear Fox Ears,/tournaments/rainbow-6-siege-winter-22/teams/we-wear-fox-ears/matches,University of Leicester,38.0,1
29,Cardiff Crusaders,/tournaments/rainbow-6-siege-winter-22/teams/cardiff-crusaders/matches,Cardiff University,5.0,1
30,KCL Lions,/tournaments/rainbow-6-siege-winter-22/teams/kcl-lions/matches,King's College London,37.0,1
31,Arctic Foxes,/tournaments/rainbow-6-siege-winter-22/teams/arctic-foxes-/matches,University of Liverpool,35.0,2
32,Exeterrific,/tournaments/rainbow-6-siege-winter-22/teams/exeterrific/matches,University of Exeter,30.0,1
33,UofG Grizzlies,/tournaments/rainbow-6-siege-winter-22/teams/uofg-grizzlies/matches,University of Glasgow,43.0,1
34,Edinburgh Eclipse R2,/tournaments/rainbow-6-siege-winter-22/teams/edinburgh-eclipse-r2/matches,University of Edinburgh,42.0,2
35,Team 71,,,,0
36,Match #88287 Loser,,,,0
37,Kentucky Fried...,/tournaments/rainbow-6-siege-winter-22/teams/kentucky-fried-chickenv2/matches,University of Kent,25.0,1
38,Imperial C Team,/tournaments/rainbow-6-siege-winter-22/teams/imperial-c-team/matches,Imperial College London,7.0,1
39,UEA Bluejays,/tournaments/rainbow-6-siege-winter-22/teams/uea-bluejays/matches,University of East Anglia,52.0,1
40,Swansea Purple,/tournaments/rainbow-6-siege-winter-22/teams/swansea-purple/matches,Swansea University,,0
41,Byechester,/tournaments/rainbow-6-siege-winter-22/teams/byechester/matches,University of Chichester,50.0,1
42,UCL Anime Girls,/tournaments/rainbow-6-siege-winter-22/teams/ucl-gaming-1/matches,University College London,39.0,1
