,Team Name,Team url,University
0,UEA Bluejays,/tournaments/rocket-league-winter-22-north/teams/uea-bluejays/matches,University of East Anglia
1,UoB Bottlers,/tournaments/rocket-league-winter-22-north/teams/alex-does-not-rhyme/matches,University of Birmingham
2,Loughborough Lions,/tournaments/rocket-league-winter-22-north/teams/loughborough-lions/matches,Loughborough University
3,Trent Thunder...,/tournaments/rocket-league-winter-22-north/teams/trent-thunder-esports/matches,Nottingham Trent University
4,Keele Krakens A,/tournaments/rocket-league-winter-22-north/teams/keele-krakens-a/matches,Keele University
5,DMU FOXES,/tournaments/rocket-league-winter-22-north/teams/dmu-foxes/matches,De Montfort University
6,Salford not Lions,/tournaments/rocket-league-winter-22-north/teams/salford-not-lions/matches,University of Salford
7,Return to Monke,/tournaments/rocket-league-winter-22-north/teams/return-to-monke/matches,Liverpool John Moores University
8,Loughborough...,/tournaments/rocket-league-winter-22-north/teams/loughborough-bundalengers/matches,Loughborough University
9,Lancaster League,/tournaments/rocket-league-winter-22-north/teams/lancaster-league/matches,Lancaster University
10,Lincoln A,/tournaments/rocket-league-winter-22-north/teams/lincoln-a/matches,University of Lincoln
11,Manchester Mermaids,/tournaments/rocket-league-winter-22-north/teams/manchester-mermaids/matches,University of Manchester
12,Der Baby,/tournaments/rocket-league-winter-22-north/teams/der-baby/matches,University of Derby
13,York Pun Name,/tournaments/rocket-league-winter-22-north/teams/york-pun-name/matches,University of York
14,LiverPeaked,/tournaments/rocket-league-winter-22-north/teams/liverpeaked/matches,University of Liverpool
15,Couldnt Care Leic,/tournaments/rocket-league-winter-22-north/teams/couldnt-care-leic/matches,University of Leicester
16,Team 33,,
17,Hallam Hammerheads,/tournaments/rocket-league-winter-22-north/teams/hallam-hammerheads/matches,Sheffield Hallam University
18,UoB Circos,/tournaments/rocket-league-winter-22-north/teams/uob-circos/matches,University of Birmingham
19,Three Big Manly Men,/tournaments/rocket-league-winter-22-north/teams/three-big-chunky-manly-men/matches,University of Nottingham
20,Salford Washed,/tournaments/rocket-league-winter-22-north/teams/salford-washed/matches,University of Salford
21,Durham Defenders,/tournaments/rocket-league-winter-22-north/teams/durham-defenders/matches,Durham University
22,Glasgow Grizzlies,/tournaments/rocket-league-winter-22-north/teams/glasgow-grizzlies/matches,University of Glasgow
23,Olivia Rodrigo Fans,/tournaments/rocket-league-winter-22-north/teams/olivia-rodrigo-fans-/matches,University of Leeds
24,Keele Leviathans,/tournaments/rocket-league-winter-22-north/teams/keele-leviathans/matches,Keele University
25,big boi 10,/tournaments/rocket-league-winter-22-north/teams/big--boi-10/matches,University of York
26,Lboro Clangers,/tournaments/rocket-league-winter-22-north/teams/lboro-clangers/matches,Loughborough University
27,Manchester Frenzy,/tournaments/rocket-league-winter-22-north/teams/manchester-frenzy/matches,University of Manchester
28,Newcastle Ninjas...,/tournaments/rocket-league-winter-22-north/teams/newcastle-ninjas-2022/matches,Newcastle University
29,Untouchaballs,/tournaments/rocket-league-winter-22-north/teams/untouchaballs-/matches,Nottingham Trent University
30,Lankers B_est team,/tournaments/rocket-league-winter-22-north/teams/lankers-best-team/matches,Lancaster University
31,Staffordshire...,/tournaments/rocket-league-winter-22-north/teams/staffordshire-sixers-white/matches,Staffordshire University
32,Trenticles,/tournaments/rocket-league-winter-22-north/teams/trenticles/matches,Nottingham Trent University
33,Watt is going on,/tournaments/rocket-league-winter-22-north/teams/watt-is-going-on/matches,Heriot-Watt University
34,Beckett Bears,/tournaments/rocket-league-winter-22-north/teams/beckett-bears-2/matches,Leeds Beckett University
35,Northumbria...,/tournaments/rocket-league-winter-22-north/teams/northumbria-nighthawks/matches,Northumbria University
36,Team 73,,
37,AA ANGELS,/tournaments/rocket-league-winter-22-north/teams/aa-angels/matches,Aston University
38,Good Soupz,/tournaments/rocket-league-winter-22-north/teams/good-soupz/matches,University of Leeds
39,Staffordshire...,/tournaments/rocket-league-winter-22-north/teams/staffordshire-sixers-black/matches,Staffordshire University
40,BCU BREEZ,/tournaments/rocket-league-winter-22-north/teams/bcu-breez/matches,Birmingham City University
41,Leic is More,/tournaments/rocket-league-winter-22-north/teams/leic-is-more/matches,University of Leicester
42,Edinburgh Eclipse,/tournaments/rocket-league-winter-22-north/teams/edinburgh-eclipse/matches,University of Edinburgh
43,Newcastle Nitros,/tournaments/rocket-league-winter-22-north/teams/newcastle-nitros/matches,Newcastle University
44,Keele Krakens C,/tournaments/rocket-league-winter-22-north/teams/keele-krakens-c/matches,Keele University
45,grUEA,/tournaments/rocket-league-winter-22-north/teams/gruea/matches,University of East Anglia
46,UOS Lions,/tournaments/rocket-league-winter-22-north/teams/uos-lions/matches,University of Sheffield
47,Lobby 75,/tournaments/rocket-league-winter-22-north/teams/lobby-75/matches,University of Birmingham
48,Trentifiable,/tournaments/rocket-league-winter-22-north/teams/trentifiable/matches,Nottingham Trent University
49,Staffs Sixers Red,/tournaments/rocket-league-winter-22-north/teams/staffs-sixers-red/matches,Staffordshire University
