,Points
Loughborough University,212.02777777777777
Staffordshire University,181.77777777777777
Nottingham Trent University,169.05555555555554
University of Salford,160.875
University of Birmingham,157.27777777777777
University of York,145.5
Keele University,142.40277777777777
University of East Anglia,142.40277777777777
De Montfort University,130.625
University of Manchester,127.02777777777777
University of Leeds,127.02777777777777
University of Leicester,127.02777777777777
Newcastle University,127.02777777777777
University of Lincoln,96.77777777777777
Sheffield Hallam University,96.77777777777777
Aston University,96.77777777777777
Durham University,90.75
Liverpool John Moores University,85.0
University of Derby,85.0
Queen's University Belfast,65.58333333333334
Lancaster University,60.5
University of Glasgow,60.5
University of Edinburgh,53.80555555555556
University of Liverpool,53.80555555555556
University of Sheffield,42.02777777777778
Birmingham City University,30.25
Heriot-Watt University,30.25
University of Nottingham,30.25
Leeds Beckett University,30.25
University of Abertay Dundee,30.25
Northumbria University,23.555555555555557
University of Strathclyde,11.777777777777779
University of Stirling,11.777777777777779
York St John University,11.777777777777779
