,Points
University of Southampton,494.0
University of Warwick,429.0
University of Portsmouth,388.0
University of Exeter,349.0
Loughborough University,339.0
Cardiff University,337.0
Nottingham Trent University,335.0
University of Birmingham,322.0
Keele University,273.0
Swansea University,258.0
University of Bath,232.0
University of Manchester,223.0
Imperial College London,223.0
University of York,211.0
Roehampton University,205.0
Staffordshire University,204.0
University of Salford,204.0
University of the West of England,195.0
University of East Anglia,188.0
University of Leeds,170.0
Sheffield Hallam University,154.0
University of Edinburgh,152.0
University College London,144.0
Lancaster University,141.0
University of Lincoln,140.0
Durham University,136.0
University of Glasgow,134.0
University of Kent,130.0
University of Strathclyde,130.0
University of Leicester,128.0
Bournemouth University,125.0
University of Sussex,121.0
Liverpool John Moores University,109.0
De Montfort University,109.0
University of Liverpool,106.0
University of Cambridge,105.0
Heriot-Watt University,105.0
Northumbria University,96.0
Newcastle University,94.0
University of Reading,87.0
Aston University,83.0
University of Surrey,82.0
University of Derby,73.0
"City, University of London",73.0
Bath Spa University,66.0
University of Plymouth,66.0
University of Hertfordshire,66.0
Queen's University Belfast,65.0
University of Stirling,65.0
University of Nottingham,65.0
Coventry University,53.0
King's College London,53.0
University of Sheffield,47.0
College of Esports,32.0
Southampton Solent University,32.0
Brunel University,32.0
Birmingham City University,29.0
Leeds Beckett University,29.0
University of Westminster,21.0
"Royal Holloway, University of London",21.0
University of West London,21.0
University of Northampton,21.0
University of Winchester,21.0
University of Hull,13.0
