,Points
University of Warwick,364.7264492753623
University of Southampton,288.4347826086956
University of Portsmouth,270.98550724637676
University of Exeter,246.29166666666666
University of Bath,200.66666666666666
Roehampton University,161.29166666666666
University of the West of England,155.31884057971013
Cardiff University,146.33333333333334
Bournemouth University,130.625
University of Kent,115.66666666666667
University of Surrey,98.21739130434783
"City, University of London",85.0
University of Plymouth,85.0
Aberystwyth University,85.0
University of Sussex,85.0
Swansea University,74.55072463768116
Imperial College London,57.10144927536232
University of Reading,43.88405797101449
University of West London,30.666666666666668
College of Esports,30.666666666666668
Coventry University,30.666666666666668
University of Cambridge,30.666666666666668
University of Gloucestershire,30.666666666666668
University of Winchester,30.666666666666668
Bath Spa University,30.666666666666668
King's College London,26.434782608695652
Southampton Solent University,13.217391304347826
Oxford Brookes University,13.217391304347826
Oxford University,13.217391304347826
"Royal Holloway, University of London",13.217391304347826
University of Northampton,13.217391304347826
University College London,13.217391304347826
