,Team Name,Team url,University
0,Roehampton...,/tournaments/rocket-league-winter-22-south/teams/roehampton-esports-gold/matches,Roehampton University
1,Warwick Unresolved,/tournaments/rocket-league-winter-22-south/teams/warwick-unresolved/matches,University of Warwick
2,Exeter Emperors,/tournaments/rocket-league-winter-22-south/teams/exeter-emperors/matches,University of Exeter
3,Portsmouth...,/tournaments/rocket-league-winter-22-south/teams/portsmouth-wawrick-portsmouth-paladins/matches,University of Portsmouth
4,Carspliff,/tournaments/rocket-league-winter-22-south/teams/carspliff/matches,Cardiff University
5,Bathelona,/tournaments/rocket-league-winter-22-south/teams/bathelona/matches,University of Bath
6,Southampton Saver...,/tournaments/rocket-league-winter-22-south/teams/southampton-saver-menu/matches,University of Southampton
7,Warwick Dissolve,/tournaments/rocket-league-winter-22-south/teams/warwick-dissolve/matches,University of Warwick
8,RocKenteers,/tournaments/rocket-league-winter-22-south/teams/rockenteers/matches,University of Kent
9,UWE Sea Stags,/tournaments/rocket-league-winter-22-south/teams/uwe-sea-stags/matches,University of the West of England
10,Bourne Beach Boys,/tournaments/rocket-league-winter-22-south/teams/bourne-beach-boys/matches,Bournemouth University
11,IC Trees of Green,/tournaments/rocket-league-winter-22-south/teams/ic-trees-of-green/matches,Imperial College London
12,Portsmouth Potatoes,/tournaments/rocket-league-winter-22-south/teams/portsmouth-potatoes/matches,University of Portsmouth
13,Bathletico Madrid,/tournaments/rocket-league-winter-22-south/teams/bathletico-madrid/matches,University of Bath
14,CES Dragons,/tournaments/rocket-league-winter-22-south/teams/ces-dragons/matches,"City, University of London"
15,Warwick Dougie FC,/tournaments/rocket-league-winter-22-south/teams/warwick-dougie-fc/matches,University of Warwick
16,Team 33,,
17,Sussex Sharks,/tournaments/rocket-league-winter-22-south/teams/sussex-sharks/matches,University of Sussex
18,Cambridge Ravens,/tournaments/rocket-league-winter-22-south/teams/cambridge-ravens/matches,University of Cambridge
19,Universally...,/tournaments/rocket-league-winter-22-south/teams/universally-challenged/matches,University of Southampton
20,Plymouth Leviathans,/tournaments/rocket-league-winter-22-south/teams/plymouth-leviathans/matches,University of Plymouth
21,Aber Apes,/tournaments/rocket-league-winter-22-south/teams/aber-apes/matches,Aberystwyth University
22,Portsmouth Pancakes,/tournaments/rocket-league-winter-22-south/teams/portsmouth-pancakes/matches,University of Portsmouth
23,BSU,/tournaments/rocket-league-winter-22-south/teams/bsu/matches,Bath Spa University
24,UCL first,/tournaments/rocket-league-winter-22-south/teams/ucl-first/matches,University College London
25,Surrey not surrey,/tournaments/rocket-league-winter-22-south/teams/surrey-not-surrey/matches,University of Surrey
26,Swansea Storm,/tournaments/rocket-league-winter-22-south/teams/swansea-storm/matches,Swansea University
27,SVGE 69FPS,/tournaments/rocket-league-winter-22-south/teams/svge-69fps/matches,University of Southampton
28,Warwick Treeflop,/tournaments/rocket-league-winter-22-south/teams/warwick-treeflop/matches,University of Warwick
29,Soton Slayers,/tournaments/rocket-league-winter-22-south/teams/soton-slayers/matches,University of Southampton
30,Cardiff CBA,/tournaments/rocket-league-winter-22-south/teams/cardiff-cba/matches,Cardiff University
31,nO U,/tournaments/rocket-league-winter-22-south/teams/no-u-/matches,Oxford University
32,Bath Bombs,/tournaments/rocket-league-winter-22-south/teams/bath-bombs/matches,University of Bath
33,Cardiff Crusaders,/tournaments/rocket-league-winter-22-south/teams/cardiff-crusaders/matches,Cardiff University
34,IC Skies of Blue,/tournaments/rocket-league-winter-22-south/teams/ic-skies-of-blue/matches,Imperial College London
35,UWE Sea Stags Red,/tournaments/rocket-league-winter-22-south/teams/uwe-sea-stags-red/matches,University of the West of England
36,Team 73,,
37,Kchung and the Krew,/tournaments/rocket-league-winter-22-south/teams/kchung-and-the-krew/matches,University of Southampton
38,Swansea Sausage...,/tournaments/rocket-league-winter-22-south/teams/swansea-sausage-rolls/matches,Swansea University
39,Soton Dez Nuts,/tournaments/rocket-league-winter-22-south/teams/soton-dez-nuts/matches,University of Southampton
40,Portsmouth Penguins,/tournaments/rocket-league-winter-22-south/teams/portsmouth-penguins/matches,University of Portsmouth
41,Surrey Stags,/tournaments/rocket-league-winter-22-south/teams/surrey-stags-23/matches,University of Surrey
42,Kent Kings,/tournaments/rocket-league-winter-22-south/teams/kent-kings/matches,University of Kent
43,Perplexeter,/tournaments/rocket-league-winter-22-south/teams/perplexeter/matches,University of Exeter
44,Exeter Gently,/tournaments/rocket-league-winter-22-south/teams/exeter-gently/matches,University of Exeter
45,The Peeping Toms,/tournaments/rocket-league-winter-22-south/teams/the-peeping-toms-1288/matches,Coventry University
46,London Legion,/tournaments/rocket-league-winter-22-south/teams/london-legion/matches,College of Esports
47,UWE Sea Stags Black,/tournaments/rocket-league-winter-22-south/teams/uwe-sea-stags-black/matches,University of the West of England
48,Portsmouth...,/tournaments/rocket-league-winter-22-south/teams/portsmouth-pillocks-v2/matches,University of Portsmouth
49,Reading Knights,/tournaments/rocket-league-winter-22-south/teams/reading-knights/matches,University of Reading
50,Northampton Knights,/tournaments/rocket-league-winter-22-south/teams/northampton-knights-/matches,University of Northampton
51,Winchester Wraiths,/tournaments/rocket-league-winter-22-south/teams/winchester-wasps/matches,University of Winchester
52,Portsmouth Plonkers,/tournaments/rocket-league-winter-22-south/teams/portsmouth-parsnips/matches,University of Portsmouth
53,UWE Sea Stags Hot...,/tournaments/rocket-league-winter-22-south/teams/uwe-sea-stags-hot-pink/matches,University of the West of England
54,SussexThreshers,/tournaments/rocket-league-winter-22-south/teams/sussexthreshers/matches,University of Sussex
55,0 Past 2,/tournaments/rocket-league-winter-22-south/teams/0-past-2/matches,Imperial College London
56,Touch ball Score...,/tournaments/rocket-league-winter-22-south/teams/touch-ball-score-goal/matches,Brunel University
57,KCL CHAOS,/tournaments/rocket-league-winter-22-south/teams/kcl-chaos/matches,King's College London
58,Soton Sharks,/tournaments/rocket-league-winter-22-south/teams/soton-sharks/matches,University of Southampton
59,UWE Sea Stags White,/tournaments/rocket-league-winter-22-south/teams/uwe-sea-stags-white/matches,University of the West of England
60,Team 121,,
61,Roehampton...,/tournaments/rocket-league-winter-22-south/teams/roehampton-esports-black/matches,Roehampton University
62,UOG Monsoon,/tournaments/rocket-league-winter-22-south/teams/uog-monsoon/matches,University of Gloucestershire
63,UWL Wyverns,/tournaments/rocket-league-winter-22-south/teams/uwl-wyverns/matches,University of West London
64,What do we think...,/tournaments/rocket-league-winter-22-south/teams/what-do-we-think-of-tottenham/matches,Bournemouth University
65,Warwick 163...,/tournaments/rocket-league-winter-22-south/teams/warwick-163-cherry-tree-drive/matches,University of Warwick
66,Two Man Army,/tournaments/rocket-league-winter-22-south/teams/the-penetrators/matches,Swansea University
67,KCL LIONS,/tournaments/rocket-league-winter-22-south/teams/kcl-lions/matches,King's College London
68,Hertfordshire Hares,/tournaments/rocket-league-winter-22-south/teams/hertfordshire-hares/matches,University of Hertfordshire
69,Swansea...,/tournaments/rocket-league-winter-22-south/teams/swansea-stormtroopers/matches,Swansea University
70,Warwick Rolled,/tournaments/rocket-league-winter-22-south/teams/warwick-rolled/matches,University of Warwick
71,Reading Knights B,/tournaments/rocket-league-winter-22-south/teams/regain/matches,University of Reading
72,RHUL Royal League,/tournaments/rocket-league-winter-22-south/teams/rhul-royal-league/matches,"Royal Holloway, University of London"
73,Imperial March,/tournaments/rocket-league-winter-22-south/teams/imperial-march/matches,Imperial College London
74,The Dirty Ducks...,/tournaments/rocket-league-winter-22-south/teams/warwick-9s/matches,University of Warwick
75,Portsmouth...,/tournaments/rocket-league-winter-22-south/teams/portsmouth-persian-melons/matches,University of Portsmouth
76,Solent Seagulls,/tournaments/rocket-league-winter-22-south/teams/solent-seagulls/matches,Southampton Solent University
77,Team 155,,
78,Oxfor Brokes Vipas,/tournaments/rocket-league-winter-22-south/teams/not-oxford-brookes-vipers-i-swear/matches,Oxford Brookes University
79,Match #87475 Loser,,
80,Godiving into...,/tournaments/rocket-league-winter-22-south/teams/the-peeping-toms/matches,Coventry University
81,IC Nothing Wrong...,/tournaments/rocket-league-winter-22-south/teams/ic-nothing-wrong-with-this-team-name/matches,Imperial College London
82,Chicken Tikka Surrey,/tournaments/rocket-league-winter-22-south/teams/chicken-tikka-surrey/matches,University of Surrey
83,Cardiff Rats,/tournaments/rocket-league-winter-22-south/teams/cardiff-rats/matches,Cardiff University
