,Points
University of Bristol,292.0
University of Leeds,211.0
University College London,196.0
University of York,164.0
University of Plymouth,164.0
Oxford University,138.0
University of the West of England,127.0
Damon Ogg,112.0
Qinrui Zhang,108.0
University of Northampton,108.0
Sheffield Hallam University,104.0
Loughborough University,96.0
University of Warwick,91.0
Coventry University,88.0
University of Manchester,84.0
UK,80.0
Bangor University,77.0
FXU (Falmouth &amp; Exeter Student's Union),73.0
University of Nottingham,72.0
Nottingham Trent University,60.0
"City, University of London",57.0
Chantel Parsons,56.0
University of Surrey,53.0
Nabiel A,49.0
Edinburgh Napier University,31.0
Arts University Bournemouth,28.0
George McTavish,25.0
Callum Robertson,24.0
University of Bath,24.0
Aston University,23.0
Haris Chughtai,22.0
Imperial College London,22.0
University of Cambridge,12.0
University of Huddersfield,11.0
Cameron Allford,10.0
University of Southampton,9.0
"Royal Holloway, University of London",8.0
Keele University,7.0
University of Reading,6.0
University of Portsmouth,5.0
Roehampton University,3.0
Cardiff University,3.0
University of Central Lancashire,2.0
