,Points
University of Bristol,147.0
University of Leeds,106.0
University College London,98.0
University of Plymouth,83.0
University of York,82.0
Oxford University,70.0
University of the West of England,64.0
Damon Ogg,56.0
University of Northampton,55.0
Qinrui Zhang,54.0
Sheffield Hallam University,52.0
Loughborough University,48.0
University of Warwick,46.0
Coventry University,44.0
University of Manchester,42.0
UK,41.0
Bangor University,40.0
FXU (Falmouth &amp; Exeter Student's Union),37.0
University of Nottingham,36.0
Nottingham Trent University,30.0
"City, University of London",29.0
Chantel Parsons,28.0
University of Surrey,27.0
Nabiel A,25.0
Edinburgh Napier University,16.0
Arts University Bournemouth,14.0
George McTavish,13.0
Callum Robertson,12.0
University of Bath,12.0
Aston University,12.0
Haris Chughtai,11.0
Imperial College London,11.0
University of Cambridge,6.0
University of Huddersfield,6.0
Cameron Allford,5.0
University of Southampton,5.0
Keele University,4.0
"Royal Holloway, University of London",4.0
University of Reading,3.0
University of Portsmouth,3.0
Roehampton University,2.0
Cardiff University,2.0
University of Central Lancashire,1.0
