University,Total Points,Overwatch,R6: Siege,DOTA 2,VALORANT,CS:GO,Rocket League,League of Legends
University of Warwick,1834.8915135065758,284.74779577148,118.08333333333331,144.85,100.53410341034106,387.0152439024391,364.7264492753623,434.93458781362
University of Southampton,1178.6099816728133,161.49273504273503,29.2,60.583333333333336,164.94403190319034,237.1128048780488,288.4347826086956,236.84229390681003
University of Exeter,1046.6392730012224,169.54858299595142,29.2,19.6,307.0761826182618,106.48780487804878,246.29166666666663,168.4350358422939
Staffordshire University,970.3682017908618,233.4401034637877,121.625,26.6,196.20118261826184,,181.77777777777777,210.72413793103448
Lancaster University,962.3760583123074,124.75,14.6,144.85,116.58333333333334,185.08841463414635,60.5,316.0043103448276
Swansea University,889.8829611660257,154.98362573099416,254.3083333333333,67.58333333333334,100.53410341034106,199.4878048780488,74.55072463768116,38.43503584229391
Durham University,888.4750222306632,161.49273504273503,136.225,60.583333333333336,85.32618261826184,212.5762195121951,90.75,141.52155172413794
University of the West of England,868.2526722675706,154.98362573099416,59.04166666666666,126.75,126.08292079207922,199.4878048780488,155.31884057971013,46.587813620071685
University of Kent,848.481098033347,108.69010346378768,59.04166666666666,,180.1519526952696,147.46341463414635,115.66666666666669,237.46729390681003
Cardiff University,846.2090348041038,172.58162393162394,59.04166666666666,7.0,196.20118261826184,133.46341463414635,146.33333333333334,131.58781362007167
University of Bath,842.6482317254251,143.89473684210526,14.6,60.583333333333336,157.34007150715072,133.97560975609755,200.66666666666663,131.58781362007167
University of Bristol,826.6542139443146,207.7862573099415,59.04166666666666,19.6,164.94403190319034,130.625,,244.65725806451613
University of Birmingham,791.5906848000294,83.03625730994152,61.32738095238095,60.583333333333336,188.59722222222223,133.97560975609755,157.27777777777777,106.79310344827589
University College London,730.188224405006,25.653846153846157,16.885714285714286,185.83333333333331,157.34007150715072,171.60060975609755,13.217391304347826,159.65725806451613
University of Portsmouth,701.6481429578173,187.1465811965812,31.485714285714284,,69.27695269526953,133.97560975609755,270.9855072463768,8.777777777777779
University of Leeds,664.3067757744166,97.6012145748988,59.04166666666666,,15.207920792079207,119.97560975609755,127.02777777777776,245.4525862068965
Nottingham Trent University,633.8941652892302,108.69010346378768,121.625,19.6,100.53410341034106,40.97560975609756,169.05555555555554,73.41379310344827
Imperial College London,599.3042201603913,25.653846153846157,73.64166666666667,60.583333333333336,149.73611111111111,186.0,57.10144927536232,46.587813620071685
University of Manchester,573.2343168740981,83.03625730994152,14.6,,92.93014301430144,54.463414634146346,127.02777777777776,201.17672413793105
University of Surrey,560.5353323039492,36.74273504273504,,,203.80514301430145,106.48780487804878,98.21739130434784,115.28225806451611
King's College London,560.0701088931978,71.94736842105263,14.6,80.18333333333334,38.86111111111112,174.9512195121951,26.43478260869565,153.09229390681003
Loughborough University,558.9682684416464,,59.04166666666666,7.0,133.68688118811883,106.48780487804878,212.02777777777777,40.72413793103448
University of Sheffield,537.0556385282056,150.40384615384616,,87.18333333333334,46.46507150715072,40.97560975609756,42.02777777777778,170.0
University of York,525.9321229012235,108.69010346378768,,19.6,38.86111111111112,106.48780487804878,145.5,106.79310344827589
University of Glasgow,511.94613986997734,148.9089068825911,14.6,19.6,46.46507150715072,40.97560975609756,60.5,180.89655172413796
University of Lincoln,495.6151115919436,166.0725146198831,,19.6,46.46507150715072,40.97560975609756,96.77777777777776,125.72413793103448
Newcastle University,494.46684170422606,76.96153846153845,59.04166666666666,,149.73611111111111,40.97560975609756,127.02777777777776,40.72413793103448
University of East Anglia,476.0269902958687,97.6012145748988,14.6,19.6,38.01980198019802,133.97560975609755,142.40277777777777,29.82758620689655
Keele University,437.7101789430636,71.94736842105263,,,54.06903190319032,54.463414634146346,142.40277777777777,114.82758620689656
University of Liverpool,436.8176445634693,196.69736842105263,73.64166666666667,19.6,38.86111111111112,13.48780487804878,53.80555555555556,40.72413793103448
Queen's University Belfast,433.23769160735696,25.653846153846157,59.04166666666666,60.583333333333336,118.4789603960396,93.0,65.58333333333334,10.89655172413793
De Montfort University,425.97849620505815,25.653846153846157,14.6,,118.4789603960396,,130.625,136.6206896551724
University of Nottingham,418.5550747656989,71.94736842105263,121.625,,61.672992299229925,81.4390243902439,30.25,51.62068965517241
Heriot-Watt University,410.8569444809203,25.653846153846157,121.625,7.0,7.603960396039604,93.0,30.25,125.72413793103448
Aston University,401.40475987253893,,59.04166666666666,,92.93014301430144,93.0,96.77777777777776,59.6551724137931
Sheffield Hallam University,398.6741911664054,71.94736842105263,,60.583333333333336,85.32618261826184,13.48780487804878,96.77777777777776,70.55172413793103
