University,Total Points,Overwatch,R6: Siege,DOTA 2,VALORANT,CS:GO,Rocket League,League of Legends,Fortnite
University of Warwick,1976.2712342231284,345.09952142074616,101.8095238095238,171.2,135.3124183006536,341.64153627311526,373.4029605263158,393.4719405594406,114.33333333333331
University of Southampton,1128.1238143850874,160.093085106383,54.90476190476191,51.18181818181818,128.33464052287582,204.7,287.58931636155603,241.3201923076923,
Lancaster University,1004.3526673915179,111.625,4.0,129.79999999999998,97.94836601307188,157.83157894736843,144.59046052631578,321.8905952380953,36.66666666666666
University of Kent,926.2357777980477,85.23509485094851,16.95,,233.32352941176472,136.5099573257468,121.94972826086956,331.93413461538466,0.3333333333333333
University of Exeter,909.7761401131911,109.99586288416076,67.8547619047619,51.18181818181818,249.69150326797384,136.07837837837835,141.49320652173913,122.8139423076923,30.666666666666664
Durham University,885.2983212118855,160.093085106383,123.35,108.6,67.6248366013072,158.26315789473682,81.27116704805492,163.42940789473684,22.666666666666664
Staffordshire University,872.053936203141,189.60802629302887,142.5,26.4,178.61241830065362,,81.27116704805492,229.9956578947369,23.666666666666664
University of the West of England,847.0602536719991,185.00643631436316,50.90476190476191,108.6,104.98888888888888,157.83157894736843,203.22089530892447,36.50769230769231,
University of Bath,811.9219094184383,85.76182033096927,4.0,51.18181818181818,128.33464052287582,121.1315789473684,246.99671052631575,174.5153409090909,
University of Birmingham,799.3243545741415,85.76182033096927,67.8547619047619,51.18181818181818,232.3444444444445,99.3783783783784,183.6774170480549,76.45904761904762,2.6666666666666665
Cardiff University,786.31988630932,109.46913740414,50.90476190476191,11.666666666666666,208.9359477124183,130.13513513513516,186.7746710526316,88.43356643356643,
Nottingham Trent University,774.7996649027621,97.61547886755464,142.5,21.2,135.3124183006536,37.13157894736842,224.10762299771164,116.9325657894737,
University of Portsmouth,761.0153058783724,189.60802629302887,58.90476190476191,,104.92614379084966,89.64153627311521,313.62714530892447,4.307692307692308,
University College London,729.8363619249583,11.853658536585366,17.95,129.79999999999998,178.61241830065362,219.2631578947368,42.18421052631579,118.50625,11.666666666666666
University of Manchester,710.4586225397304,73.38143631436314,4.0,,158.65816993464054,121.1315789473684,162.3799342105263,190.9075031328321,
Swansea University,664.1417992744695,85.76182033096927,246.7,22.7,58.23464052287581,136.5099573257468,77.72768878718536,36.50769230769231,
Loughborough University,650.8303189375879,11.853658536585366,50.90476190476191,14.5,111.96666666666664,157.83157894736843,255.89144736842104,47.88220551378446,
University of Bristol,633.0504972536447,134.90921409214093,16.95,51.18181818181818,158.65816993464054,136.07837837837835,,134.60625,0.6666666666666666
University of Sheffield,627.6824174858007,147.71270108977686,,77.58181818181818,121.35686274509804,37.13157894736842,39.08695652173913,204.8125,
Imperial College London,619.190091150722,24.23404255319149,33.9,21.2,128.33464052287582,183.3783783783784,172.13393878718534,56.00909090909091,
University of Leeds,572.4789053703098,173.15277777777777,16.95,,6.977777777777778,121.1315789473684,70.62242562929062,183.64434523809524,
University of York,545.3028794202679,160.093085106383,,11.666666666666666,30.323529411764707,114.75675675675676,144.59046052631578,58.53904761904762,25.33333333333333
University of East Anglia,542.6894829506243,123.05555555555556,16.95,51.18181818181818,20.933333333333334,168.0,121.94972826086956,40.61904761904762,
King's College London,526.8589146420954,61.52777777777778,50.90476190476191,51.18181818181818,6.977777777777778,188.5883357041252,27.543478260869566,140.13496503496503,
Queen's University Belfast,513.1370431065784,24.23404255319149,106.4,108.6,37.30130718954248,120.7,47.9816933638444,17.92,50.0
University of Nottingham,512.68499049691,61.52777777777778,106.4,,135.3124183006536,99.3783783783784,42.18421052631579,47.88220551378446,20.0
University of Glasgow,483.1184953194348,72.17540217955371,50.90476190476191,51.18181818181818,30.323529411764707,15.37837837837838,51.078947368421055,212.07565789473685,
University of Lincoln,479.95375100454123,134.90921409214093,,5.2,44.27908496732026,37.13157894736842,130.84446510297482,127.58940789473684,
