University,Total Points,Overwatch,R6: Siege,DOTA 2,CS:GO,VALORANT,Rocket League,League of Legends,Smash (Teams),Fortnite,Tekken 7 (UFG),Guilty Gear Strive (UFG)
University of Warwick,2143.0,307.0,208.0,126.0,386.0,158.0,429.0,436.0,,93.0,,
University of Southampton,1270.0,151.0,44.0,43.0,150.0,138.0,494.0,250.0,,,,
Lancaster University,1176.0,103.0,13.0,112.0,160.0,109.0,141.0,503.0,,35.0,,
University of Exeter,1114.0,97.0,107.0,19.0,130.0,257.0,349.0,42.0,85.0,28.0,,
Cardiff University,1060.0,117.0,41.0,5.0,106.0,209.0,337.0,245.0,,,,
University of Birmingham,1023.0,127.0,44.0,43.0,40.0,224.0,322.0,209.0,12.0,2.0,,
Durham University,1007.0,176.0,145.0,107.0,160.0,82.0,136.0,78.0,102.0,21.0,,
Swansea University,950.0,127.0,234.0,43.0,152.0,61.0,258.0,56.0,19.0,,,
Imperial College London,946.0,49.0,54.0,19.0,152.0,157.0,223.0,292.0,,,,
Staffordshire University,911.0,131.0,104.0,19.0,,172.0,204.0,241.0,24.0,16.0,,
University of Kent,897.0,117.0,41.0,,50.0,234.0,130.0,325.0,,,,
Loughborough University,882.0,24.0,41.0,19.0,150.0,183.0,339.0,126.0,,,,
University of Bath,865.0,98.0,13.0,107.0,106.0,89.0,232.0,220.0,,,,
University College London,852.0,24.0,41.0,150.0,226.0,153.0,144.0,100.0,,14.0,,
University of Manchester,804.0,103.0,1.0,,60.0,133.0,223.0,282.0,2.0,,,
King's College London,792.0,103.0,104.0,62.0,210.0,8.0,53.0,240.0,,,,12.0
University of the West of England,788.0,230.0,13.0,107.0,96.0,91.0,195.0,56.0,,,,
Keele University,759.0,63.0,,,106.0,115.0,273.0,188.0,8.0,6.0,,
Nottingham Trent University,757.0,62.0,104.0,,76.0,110.0,335.0,70.0,,,,
University of Bristol,745.0,141.0,13.0,,120.0,232.0,,238.0,,1.0,,
University of Leeds,737.0,127.0,13.0,,116.0,2.0,170.0,305.0,4.0,,,
University of Portsmouth,712.0,103.0,44.0,,60.0,55.0,388.0,,62.0,,,
University of Nottingham,705.0,24.0,104.0,,140.0,179.0,65.0,103.0,70.0,20.0,,
University of Sussex,704.0,98.0,,107.0,116.0,82.0,121.0,180.0,,,,
University of York,700.0,166.0,,5.0,96.0,42.0,211.0,144.0,,36.0,,
University of Lincoln,664.0,180.0,,19.0,30.0,59.0,140.0,236.0,,,,
University of East Anglia,639.0,87.0,3.0,43.0,106.0,22.0,188.0,112.0,78.0,,,
Newcastle University,584.0,87.0,41.0,,150.0,82.0,94.0,19.0,72.0,39.0,,
Roehampton University,537.0,103.0,,,,88.0,205.0,129.0,,12.0,,
"City, University of London",536.0,24.0,41.0,1.0,76.0,81.0,73.0,140.0,100.0,,,
Bournemouth University,534.0,127.0,104.0,,30.0,52.0,125.0,96.0,,,,
University of Liverpool,527.0,206.0,41.0,43.0,10.0,7.0,106.0,112.0,2.0,,,
University of Plymouth,527.0,117.0,3.0,5.0,86.0,84.0,66.0,166.0,,,,
Queen's University Belfast,525.0,14.0,104.0,107.0,120.0,33.0,65.0,32.0,,50.0,,
Heriot-Watt University,498.0,49.0,104.0,,76.0,82.0,105.0,82.0,,,,
University of Surrey,494.0,38.0,,,130.0,134.0,82.0,110.0,,,,
De Montfort University,486.0,38.0,3.0,,,100.0,109.0,236.0,,,,
Aston University,452.0,,3.0,,30.0,141.0,83.0,176.0,,19.0,,
University of Glasgow,450.0,111.0,13.0,19.0,,14.0,134.0,159.0,,,,
University of Leicester,415.0,49.0,104.0,,,34.0,128.0,100.0,,,,
University of Sheffield,393.0,127.0,,72.0,30.0,33.0,47.0,84.0,,,,
University of Edinburgh,379.0,49.0,117.0,,30.0,8.0,152.0,,,23.0,,
Queen Mary University of London,368.0,49.0,,,76.0,147.0,,96.0,,,,
Brunel University,360.0,49.0,,,40.0,83.0,32.0,110.0,46.0,,,
University of Reading,356.0,,41.0,,,125.0,87.0,96.0,7.0,,,
University of Hertfordshire,351.0,,,,76.0,74.0,66.0,104.0,,31.0,,
University of Strathclyde,340.0,49.0,,,86.0,75.0,130.0,,,,,
Sheffield Hallam University,336.0,14.0,,43.0,10.0,60.0,154.0,51.0,4.0,,,
Oxford University,314.0,117.0,,19.0,,7.0,,126.0,45.0,,,
University of Salford,309.0,24.0,,,10.0,26.0,204.0,32.0,,13.0,,
FXU (Falmouth &amp; Exeter Student's Union),307.0,91.0,,,106.0,14.0,,96.0,,,,
"Royal Holloway, University of London",306.0,103.0,104.0,,10.0,33.0,21.0,35.0,,,,
Liverpool John Moores University,299.0,,,,,158.0,109.0,32.0,,,,
University of St Andrews,282.0,24.0,,43.0,,34.0,,171.0,10.0,,,
Birmingham City University,256.0,38.0,,,30.0,75.0,29.0,84.0,,,,
University of Chichester,239.0,49.0,54.0,,30.0,81.0,,14.0,11.0,,,
University of Abertay Dundee,236.0,127.0,13.0,,,74.0,,14.0,,8.0,,
Northumbria University,234.0,14.0,,,30.0,75.0,96.0,19.0,,,,
Coventry University,222.0,,13.0,,10.0,82.0,53.0,56.0,,8.0,,
University of Cambridge,220.0,24.0,,,76.0,1.0,105.0,14.0,,,,
Manchester Metropolitan University,216.0,155.0,,,,52.0,,,9.0,,,
University of Hull,213.0,117.0,13.0,,,,13.0,70.0,,,,
Glasgow Caledonian University,195.0,49.0,,,120.0,26.0,,,,,,
Teesside University,180.0,87.0,,,,74.0,,19.0,,,,
Leeds Beckett University,172.0,103.0,,,,26.0,29.0,14.0,,,,
University of the Arts London,172.0,,,,,26.0,,146.0,,,,
University of Westminster,169.0,,,,,7.0,21.0,90.0,51.0,,,
University of Derby,168.0,24.0,,,,1.0,73.0,70.0,,,,
University of Essex,163.0,103.0,13.0,,,33.0,,14.0,,,,
University of Huddersfield,158.0,14.0,,,,74.0,,70.0,,,,
London School of Economics,156.0,,,,30.0,26.0,,100.0,,,,
Bath Spa University,141.0,49.0,,,,26.0,66.0,,,,,
University of Northampton,131.0,38.0,,,,26.0,21.0,28.0,18.0,,,
University of West London,127.0,24.0,41.0,,,26.0,21.0,7.0,1.0,7.0,,
podbotsasdas,120.0,,,,120.0,,,,,,,
University of Stirling,116.0,,13.0,,,33.0,65.0,,,5.0,,
University of South Wales,104.0,,,,76.0,,,28.0,,,,
Aberystwyth University,101.0,24.0,,,,7.0,,70.0,,,,
Bangor University,89.0,24.0,,,30.0,14.0,,19.0,,2.0,,
University of Dundee,86.0,73.0,13.0,,,,,,,,,
Anglia Ruskin University,81.0,,41.0,,,40.0,,,,,,
"Goldsmiths, University of London",81.0,,,,,81.0,,,,,,
Ulster University,76.0,,,,76.0,,,,,,,
Southampton Solent University,65.0,,,,,1.0,32.0,14.0,,18.0,,
University of Gloucestershire,64.0,,,,10.0,26.0,,28.0,,,,
Reading,60.0,,,,,,,,,,5.0,55.0
Sheffield Hallam,59.0,,,,,,,,,,2.0,57.0
College of Esports,46.0,14.0,,,,,32.0,,,,,
University of Winchester,39.0,,,,,,21.0,14.0,,4.0,,
Manchester Met,37.0,,,,,,,,,,,37.0
Warwick,30.0,,,,,,,,,,30.0,
Staffordshire,29.0,,,,,,,,,,,29.0
Swansea,28.0,,,,,,,,,,18.0,10.0
University of Brighton,27.0,24.0,,,,3.0,,,,,,
Cardiff Metropolitan University,26.0,,,,,26.0,,,,,,
London South Bank University,26.0,,,,,26.0,,,,,,
UWE,26.0,,,,,,,,,,,26.0
"University for the Creative Arts, Surrey",26.0,,,,,26.0,,,,,,
University of Sunderland,26.0,,,,,26.0,,,,,,
De Montfort,26.0,,,,,,,,,,1.0,25.0
Kingston University,26.0,,,,,26.0,,,,,,
London Metropolitan University,26.0,,,,,26.0,,,,,,
Birmingham,25.0,,,,,,,,,,25.0,
University of Bedfordshire,24.0,24.0,,,,,,,,,,
Leeds Conservatoire,24.0,24.0,,,,,,,,,,
Loughborough,24.0,,,,,,,,,,20.0,4.0
Brunel,23.0,,,,,,,,,,,23.0
York St John University,21.0,14.0,,,,7.0,,,,,,
