"Tekken ","University","Username","Week 1","Week 2","Week 3","Week 4","Week 5","Overall","","","Position","Points Earnt","","",""
"1","Birmingham","BrokenCellz","8","","8","","","16","","","1st","8","","1st","10"
"2","Loughborough","Nekon","","8","5","","","13","","","2nd","6","","2nd","8"
"3","Warwick","Dhiren_GM","6","","6","","","12","","","3rd","5","","3rd","7"
"4","Royal Holloway","rip 2 you","5","6","","","","11","","","4th","4","","4th","6"
"5","Swansea","fire☆star","4","4","2","","","10","","","5th","3","","5th","5"
"6","Warwick","Wandschränkli","3","2","4","","","9","","","7th","2","","7th","4"
"7","Falmouth","GPK","3","3","1","","","7","","","9th or below","1","","9th","3"
"8","Sussex","Harvourious","","5","1","","","6","","","","","","13th","2"
"9","Swansea","AZYF","1","2","2","","","5","","","","","","17th or below","1"
"10","Reading","Jhaydead","1","3","","","","4","","","","","","",""
"11","Imperial","Tanvir","","1","3","","","4","","","","","","",""
"12","Warwick","PlaceholderSucks","","1","3","","","4","","","","","","",""
"13","Teesside","Mountain","2","","1","","","3","","","","","","",""
"14","Abertay Dundee","Wrathod","1","1","1","","","3","","","","","","",""
"15","Anglia Ruskin","Yenson","2","","","","","2","","","","","","",""
"16","Teesside","BadlvckCharm","1","1","","","","2","","","","","","",""
"17","Birmingham City","Puppyruski","","1","1","","","2","","Top 6 from Weekly Split Qualify to Finals Bracket","","","","",""
"18","Sheffield Hallam","Naarii","1","","","","","1","","Top 2 from LCQ also qualifies","","","","",""
"19","Anglia Ruskin","DemonSpark","1","","","","","1","","","","","","",""
"20","Bath Spa","JaSpecific","","1","","","","1","","If you spot any clerical errors, please let me know - GeoBreaker#2492","","","","",""
"21","Swansea","Hablett","","","1","","","1","","","","","","",""
"22","De Montfort","Synthetik","","","1","","","1","","","","","","",""
"","","Key:","","","","","","","","","","","","",""
"","","Q=Qualified for Finals","","","","","","","","","","","","",""
"","Warwick","Dan Bridges","","","","","","","","","","","","",""
"","Birmingham","BrokenCellz","","","","","","","","","","","","",""
"","Birmingham","Teshi","","","","","","","","","","","","",""
"","Nottingham","Gondola","","","","","","","","","","","","",""
"","Sussex","drowningfishes","","","","","","","","","","","","",""
"","Birkbeck","PESCharlie","","","","","","","","","","","","",""
"","Swansea","firestar","","","","","","","","","","","","",""
"","Cardiff University","Anu","","","","","","","","","","","","",""
"","Swansea","Wavebank","","","","","","","","","","","","",""
