,Team 1,University
0,1.0,Sheffield Hallam
1,2.0,Reading
2,3.0,Manchester Met
3,4.0,Staffordshire
4,5.0,De Montfort
5,6.0,Brunel
6,7.0,UWE
7,8.0,Sheffield Hallam
8,9.0,Reading
9,10.0,Tesside
10,11.0,Falmouth
11,12.0,King's College London
12,13.0,Derby
13,14.0,Swansea
14,15.0,Nottingham
15,16.0,Manchester Met
16,17.0,Nottingham
17,18.0,Oxford
18,19.0,Durham
19,20.0,Birmingham City
20,21.0,Reading
21,22.0,Durham
22,23.0,Westminster
23,24.0,Loughborough
24,25.0,Anglia Ruskin
25,26.0,UWE
26,27.0,Nottingham
27,28.0,Imperial
28,29.0,Staffordshire
29,30.0,UWE
30,31.0,Keele
31,32.0,Teesside
32,33.0,Portsmouth
33,34.0,Anglia Ruskin
