,Team 1,University
0,Swansea Storm,Swansea University
1,Universally...,University of Southampton
2,Team 5,
3,UCL first,University College London
4,Cardiff CBA,Cardiff University
5,Team 11,
6,Portsmouth Pancakes,University of Portsmouth
7,Cardiff Crusaders,Cardiff University
8,Cambridge Ravens,University of Cambridge
9,Sussex Sharks,University of Sussex
10,Exeter Gently,University of Exeter
11,Perplexeter,University of Exeter
12,Team 25,
13,UWE Sea Stags Black,University of the West of England
14,Soton Slayers,University of Southampton
15,Plymouth Leviathans,University of Plymouth
16,Swansea Sausage...,Swansea University
17,BSU,Bath Spa University
18,IC Skies of Blue,Imperial College London
19,Warwick Rolled,University of Warwick
20,Hertfordshire Hares,University of Hertfordshire
21,Bath Bombs,University of Bath
22,Reading Knights,University of Reading
23,Soton Dez Nuts,University of Southampton
24,Roehampton...,Roehampton University
25,SVGE 69FPS,University of Southampton
26,Surrey not surrey,University of Surrey
27,Team 55,
28,Warwick 163...,University of Warwick
29,The Peeping Toms,Coventry University
30,Warwick Treeflop,University of Warwick
31,Portsmouth...,University of Portsmouth
32,Soton Sharks,University of Southampton
33,Swansea...,Swansea University
34,Kchung and the Krew,University of Southampton
35,Portsmouth Plonkers,University of Portsmouth
36,KCL LIONS,King's College London
37,Imperial March,Imperial College London
38,Touch ball Score...,Brunel University
39,0 Past 2,Imperial College London
40,UWE Sea Stags White,University of the West of England
41,Solent Seagulls,Southampton Solent University
42,London Legion,College of Esports
43,Team 87,
44,UWL Wyverns,University of West London
45,Kent Kings,University of Kent
46,Portsmouth Penguins,University of Portsmouth
47,KCL CHAOS,King's College London
48,Northampton Knights,University of Northampton
49,Winchester Wraiths,University of Winchester
50,Reading Knights B,University of Reading
51,UCL Benthams Babes,University College London
52,Godiving into...,Coventry University
53,RHUL Royal League,"Royal Holloway, University of London"
54,Two Man Army,Swansea University
55,Westminster Dragons,University of Westminster
56,Team 113,
57,The Dirty Ducks...,University of Warwick
58,What do we think...,Bournemouth University
59,Chicken Tikka Surrey,University of Surrey
60,UWE Sea Stags Hot...,University of the West of England
61,SussexThreshers,University of Sussex
62,Portsmouth...,University of Portsmouth
