,Team 1,University
0,Salford not Lions,University of Salford
1,Roehampton...,Roehampton University
2,Exeter Emperors,University of Exeter
3,Keele Krakens A,Keele University
4,Loughborough Lions,Loughborough University
5,Lancaster League,Lancaster University
6,UoB Bottlers,University of Birmingham
7,UEA Bluejays,University of East Anglia
8,Portsmouth...,University of Portsmouth
9,Carspliff,Cardiff University
10,Bourne Beach Boys,Bournemouth University
11,DMU FOXES,De Montfort University
12,Warwick Unresolved,University of Warwick
13,Trent Thunder...,Nottingham Trent University
14,Return to Monke,Liverpool John Moores University
15,RocKenteers,University of Kent
16,Warwick Dissolve,University of Warwick
17,Loughborough...,Loughborough University
18,LiverPeaked,University of Liverpool
19,Southampton Saver...,University of Southampton
20,Lincoln A,University of Lincoln
21,Bathelona,University of Bath
22,IC Trees of Green,Imperial College London
23,Manchester Mermaids,University of Manchester
24,Warwick Dougie FC,University of Warwick
25,Couldnt Care Leic,University of Leicester
26,York Pun Name,University of York
27,UWE Sea Stags,University of the West of England
28,Bathletico Madrid,University of Bath
29,CES Dragons,"City, University of London"
30,Portsmouth Potatoes,University of Portsmouth
31,Der Baby,University of Derby
