,Team 1,University
0,Watermelon Waddlers,Staffordshire University
1,Portsmouth Paladins,University of Portsmouth
2,Warwick Angels,University of Warwick
3,Hull Hornets,University of Hull
4,Durham Defenders,Durham University
5,Gaming,University of Southampton
6,UoL Arctic Foxes,University of Liverpool
7,Lancaster Bombers,Lancaster University
8,MMU Minotaurs OW,Manchester Metropolitan University
9,Sheffield Dragons,University of Sheffield
10,Oxford Omnics,Oxford University
11,Essex Blades OW,University of Essex
12,Warwick Angles 2022,University of Warwick
13,LEEM_OW v2,University of Abertay Dundee
14,Royal Glizzlies,"Royal Holloway, University of London"
15,Plymouth...,University of Plymouth
16,404v2,University of York
17,Leeds Gryphons,University of Leeds
18,UWE Sea Stags,University of the West of England
19,meow owoverwatch,King's College London
20,UoB Apollo,University of Birmingham
21,Team Dynasty,Roehampton University
22,Beckett Bears,Leeds Beckett University
23,BU Red Barracudas,Bournemouth University
24,Lincoln sIMPs,University of Lincoln
25,Swansea Storm Black,Swansea University
26,Cardiff Crusaders,Cardiff University
27,UWE Sea Stags Black,University of the West of England
28,Kentsune,University of Kent
29,Bristol Hashtag...,University of Bristol
30,Microwave,University of Liverpool
31,ManOW2T1,University of Manchester
32,Team 65,
33,Bath Bombers,University of Bath
34,Keele Krakens,Keele University
35,Chi_Noble,University of Chichester
36,Sussex Sharks,University of Sussex
37,Teesside based bois,Teesside University
38,Hopium,Queen Mary University of London
39,Genghis Swan,University of Lincoln
40,Bath Bubbles,University of Bath
41,Last Night in Soho,Newcastle University
42,DurhamDoge,Durham University
43,Edinburgh Eclipse,University of Edinburgh
44,Exepired,University of Exeter
45,ttvseanadofps,Imperial College London
46,Dundee Vanguard,University of Dundee
47,Caledonian...,Glasgow Caledonian University
48,Strathers,University of Strathclyde
49,Glasgow Winstons fr,University of Glasgow
50,UEA Bluejays,University of East Anglia
51,UoL Leicester...,University of Leicester
52,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
53,Watt Wyverns 2022,Heriot-Watt University
54,Banned Bnet Bozos,University of York
55,Edgy Sharks,University of Sussex
56,Heavens Rejects,University of Warwick
57,Brunel Basilisks,Brunel University
58,Risky Biscuits,Bath Spa University
59,Team 119,
60,Nanoboost,Swansea University
61,Sheffield Wyverns,University of Sheffield
62,Ls2,University of Southampton
63,UEA Kingfishers,University of East Anglia
64,DoughNotts 2,University of Nottingham
65,BU Blue Barracudas,Bournemouth University
66,Trent Thunder_Pink,Nottingham Trent University
67,Team Valkyrie,University of Abertay Dundee
68,Yoshi Appreciators,University of Leeds
69,BCUseless,Birmingham City University
70,Only Bronzes,Manchester Metropolitan University
71,Bristol Hashtag...,University of Bristol
72,CamDu Punters,University of Cambridge
73,Beds Bandits,University of Bedfordshire
74,Exestential Crisis,University of Exeter
75,St AndrewsSss,University of St Andrews
76,Exe on the Beach,University of Exeter
77,The Warwick...,University of Warwick
78,Salford Lions OW,University of Salford
79,Brighton T2O,University of Brighton
80,Derby Raptors Uni...,University of Derby
81,Aber Ult Spammers,Aberystwyth University
82,Dundee Rearguard,University of Dundee
83,DMU Team 1,De Montfort University
84,Bangor Team 1,Bangor University
85,Jerrys,Loughborough University
86,CES Hydras,"City, University of London"
87,Staggered,University of Southampton
88,Euston Outlaws,University College London
89,Glasgow Switches,University of Glasgow
90,UWE Sea Stags Red,University of the West of England
91,Trent Thunder_Blue,Nottingham Trent University
92,Leeds...,Leeds Conservatoire
93,Glasgow Pride,University of Glasgow
94,Monkey Mondays V3,University of Northampton
95,UWL West London...,University of West London
96,Surrey Stags,University of Surrey
97,Teesside Smoggies,Teesside University
98,Durham Disasters,Durham University
99,Tyneside Pog Frogs,Newcastle University
100,Succumb to Brum,University of Birmingham
101,Team 203,
102,London Legion...,College of Esports
103,BCUrMum,Birmingham City University
104,Oxford,Oxford University
105,OW SHU T1,Sheffield Hallam University
106,Warwick Pro Tractors,University of Warwick
107,Glasgow Team Name...,University of Glasgow
108,BLANK,University of Bristol
109,Budget Crusaders,Cardiff University
110,Plymouth...,University of Plymouth
111,York Bastions,University of York
112,MMU Team 3,Manchester Metropolitan University
113,Northumbria Vikings,Northumbria University
114,QUB Team 1,Queen's University Belfast
115,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
116,Trent Thunder_Purple,Nottingham Trent University
117,drywalldrinkers,Staffordshire University
118,Hull Uni Team 2,University of Hull
119,monke madness,University of Northampton
120,Warwick Devils,University of Warwick
121,Quayside KekWs,Newcastle University
122,Teesside CLRJ,Teesside University
123,Huddersfield...,University of Huddersfield
124,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
125,could be better,University of Lincoln
126,Surrey Fawns,University of Surrey
127,UEA Nightjars,University of East Anglia
128,Staffs Shadows,Staffordshire University
129,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
130,DMUselesss,De Montfort University
131,Keele Conquerors,Keele University
132,Jokers Wild,Manchester Metropolitan University
133,Totally Quacked,University of Lincoln
134,Kenthardt,University of Kent
135,Eboracum Guards,York St John University
136,Team 273,
137,Casual Crusaders,Cardiff University
138,Staffs LONDON,Staffordshire University
139,UALSMOSHFANS2002,University of the Arts London
140,Sheffield Hydras,University of Sheffield
141,Bath Tubs,Bath Spa University
142,Eboracum Warriors,York St John University
143,Kent Believe It,University of Kent
144,Slay squad,Bath Spa University
145,Only Ls JMU,Liverpool John Moores University
146,Eboracum Raiders,York St John University
147,Solent Spartans,Southampton Solent University
148,Huddersfield...,University of Huddersfield
149,QUB Team 2,Queen's University Belfast
