,Team 1,University
0,SuperCaliFragulistic,Glasgow Caledonian University
1,UCL Neanderthals,University College London
2,Team 5,
3,Half Natty Head...,Lancaster University
4,podbotsasdas,podbotsasdas
5,Lboro Lightning 1,Loughborough University
6,KCL Lions,King's College London
7,Bristol Baked Beens,University of Bristol
8,Team Jump Spec,University of Southampton
9,Back Six,Queen's University Belfast
10,Surrey Stags,University of Surrey
11,UWE Sea Stags,University of the West of England
12,BrExeter,University of Exeter
13,Team 27,
14,Warwick Wrestling...,University of Warwick
15,Durham Defenders,Durham University
16,York 6th Team,University of York
17,Warwick Furries,University of Warwick
18,Cardiff Crusaders,Cardiff University
19,aimbridge,University of Cambridge
20,Swansea Storm Blue,Swansea University
21,HaVi,Imperial College London
22,Imperial Immigrants,Imperial College London
23,Plymouth...,University of Plymouth
24,Kindred Reborn,University of Kent
25,UEA Kingfishers,University of East Anglia
26,Watt Wyverns,Heriot-Watt University
27,UEA Bluejays,University of East Anglia
28,Warwick Disciples,University of Warwick
29,UoN Archers,University of Nottingham
30,Rush Bee,University of Manchester
31,Sussex Sharks Black,University of Sussex
32,Elo Recovery Service,University of Southampton
33,UoB Esports Team 1,University of Birmingham
34,Newclapped,Newcastle University
35,City Esports,"City, University of London"
36,Bath Boomers,University of Bath
37,Leeds 2 Electric...,University of Leeds
38,Falmouth Phoenix A,FXU (Falmouth &amp; Exeter Student's Union)
39,Team 79,
41,BCU TBD,Birmingham City University
42,Qmul CS,Queen Mary University of London
43,Bath Plugs,University of Bath
44,Durham Blaze,Durham University
45,_MiP_,University of Portsmouth
46,Portsmouth Paladins,University of Portsmouth
47,Swansea Storm Black,Swansea University
48,UWE Sea Stags Black,University of the West of England
49,Aston Archangels...,Aston University
50,Strapybara,University of Warwick
51,Leeds Gryphons,University of Leeds
52,Sheffield Steel...,University of Sheffield
53,Trent Thunder,Nottingham Trent University
54,UCL Asteroids22,University College London
55,GreggsGangsters,Newcastle University
56,Triple Accredited,Lancaster University
57,Kent Win a Single...,University of Kent
58,Ulster Unicorns,Ulster University
59,Bangor Team 1,Bangor University
60,Keele Krakens Red,Keele University
61,Falmouth Phoenix B,FXU (Falmouth &amp; Exeter Student's Union)
62,Edinburgh Eclipse,University of Edinburgh
63,Strathers,University of Strathclyde
64,basically_global,University of Lincoln
65,The Hertfordshire...,University of Hertfordshire
66,RoyalBearsCSGO,"Royal Holloway, University of London"
67,Sussex Sharks Blue,University of Sussex
68,Durham Dingles,Durham University
69,LSU team 2...,Loughborough University
70,Manchester Team 2,University of Manchester
71,Hallam Hydras,Sheffield Hallam University
72,Glamorgan Giants,University of South Wales
73,Northumbria Vikings,Northumbria University
74,Kebab Rush B...,Coventry University
75,LSE Leviathans CS,London School of Economics
76,KCL TaoTie,King's College London
77,Warwick Chipmunks,University of Warwick
78,Walkman,University College London
79,Team 159,
81,Most Malded...,Manchester Metropolitan University
82,UoB Esports Team 2,University of Birmingham
83,Salford Lions,University of Salford
84,All Good Gaming,King's College London
85,RejExeter,University of Exeter
86,York Fourth,University of York
87,Strathers B,University of Strathclyde
88,Warwick A Manger,University of Warwick
89,Cardiff Crusaders V2,Cardiff University
90,Cardiff...,Cardiff University
91,SalfordShurikens,University of Salford
92,g12,University of Glasgow
93,Wouldnt want to BU,Bournemouth University
94,Brunel Baddies,Brunel University
95,Reading Knights 1st,University of Reading
96,UoG G Spotters,University of Gloucestershire
97,Keele Krakens Blue,Keele University
98,MMU Minotaurs 2nd,Manchester Metropolitan University
99,brunel baddies in...,Brunel University
100,Swansea Storm Red,Swansea University
101,Aberdeen Aimstars,University of Aberdeen
102,York Vikings,University of York
103,Brist0l Bakas,University of Bristol
104,__PPUninstaller2__,Imperial College London
105,Portsmouth Panthers,University of Portsmouth
106,Cardiff Peek,Cardiff University
107,KCL Cubs,King's College London
108,Plymouth...,University of Plymouth
109,Watt the Duck,Heriot-Watt University
110,UWL Wyverns,University of West London
111,Chi Challengers,University of Chichester
112,CS Roe,Roehampton University
113,Surreys_Sloppy_Se...,University of Surrey
114,King and Kentry,University of Kent
115,The Flashbang Foxes,University of Liverpool
116,Sussex Sharks Green,University of Sussex
117,Peeker Capaldi,University of Nottingham
118,Team 237,
119,Soton T1,University of Southampton
120,FiggleBottom,University of Warwick
122,Mr Lancastic Very...,Lancaster University
123,Teesside Leftovers,Teesside University
124,CUT3,University of Cambridge
125,metric,Imperial College London
126,Colossal Cubs,"Royal Holloway, University of London"
127,Cardiff Met Archers,Cardiff Metropolitan University
128,UWE Sea Stags Red,University of the West of England
130,Toronto Syrup...,University of Warwick
131,Bedford Bulls,University of Bedfordshire
132,Nott 2,University of Nottingham
133,Nott 3,University of Nottingham
134,Barn Boys,University of Leeds
135,T3HE,University of Leeds
136,Solent Tactics...,Southampton Solent University
137,Made In Lancaster...,Lancaster University
138,Soton Stinkers,University of Southampton
139,Durham Disasters,Durham University
140,Team 281,
141,G2 kekW,Newcastle University
142,Reading Knights 2nd,University of Reading
143,CES Hydras,"City, University of London"
144,Portsmouth Parsnips,University of Portsmouth
