,Team 1,University
0,UEA Bluejays,University of East Anglia
1,UoB Bottlers,University of Birmingham
2,Loughborough Lions,Loughborough University
3,Trent Thunder...,Nottingham Trent University
4,Keele Krakens A,Keele University
5,DMU FOXES,De Montfort University
6,Salford not Lions,University of Salford
7,Couldnt Care Leic,University of Leicester
8,LiverPeaked,University of Liverpool
9,York Pun Name,University of York
10,Der Baby,University of Derby
11,Manchester Mermaids,University of Manchester
12,Lincoln A,University of Lincoln
13,Lancaster League,Lancaster University
14,Loughborough...,Loughborough University
15,Return to Monke,Liverpool John Moores University
16,Team 33,
17,Hallam Hammerheads,Sheffield Hallam University
18,UoB Circos,University of Birmingham
19,Three Big Manly Men,University of Nottingham
20,Salford Washed,University of Salford
21,Durham Defenders,Durham University
22,Glasgow Grizzlies,University of Glasgow
23,Olivia Rodrigo Fans,University of Leeds
24,Keele Leviathans,Keele University
25,big boi 10,University of York
26,Lboro Clangers,Loughborough University
27,Manchester Frenzy,University of Manchester
28,Newcastle Ninjas...,Newcastle University
29,Untouchaballs,Nottingham Trent University
30,Lankers B_est team,Lancaster University
31,Staffordshire...,Staffordshire University
32,Trenticles,Nottingham Trent University
33,Watt is going on,Heriot-Watt University
34,Beckett Bears,Leeds Beckett University
35,Northumbria...,Northumbria University
36,Team 73,
37,AA ANGELS,Aston University
38,Good Soupz,University of Leeds
39,Staffordshire...,Staffordshire University
40,BCU BREEZ,Birmingham City University
41,Leic is More,University of Leicester
42,Edinburgh Eclipse,University of Edinburgh
43,Newcastle Nitros,Newcastle University
44,Keele Krakens C,Keele University
45,grUEA,University of East Anglia
46,UOS Lions,University of Sheffield
47,Lobby 75,University of Birmingham
48,Trentifiable,Nottingham Trent University
49,Staffs Sixers Red,Staffordshire University
50,D3fenceless Durham,Durham University
51,Happier Happy...,University of Lincoln
52,Ez4Edinburgh,University of Edinburgh
53,Strathers A,University of Strathclyde
54,Northumbria Noodles,Northumbria University
55,Own Goalers,University of Sheffield
56,Elevated Fennec,University of Birmingham
57,QUB RAMS,Queen's University Belfast
58,Durham Demons,Durham University
59,QUB Queen Bees,Queen's University Belfast
60,Team 121,
61,Sheffield Saints,Sheffield Hallam University
62,Strathers C,University of Strathclyde
63,Manchester...,University of Manchester
64,UoL Arctic Foxes A,University of Liverpool
65,HullPoint,University of Hull
66,TrentyFour 7,Nottingham Trent University
67,Edinballers,University of Edinburgh
68,Glasgow FD,University of Glasgow
69,QUB Dynasty,Queen's University Belfast
70,GirlfriendLeic,University of Leicester
71,University of...,University of Stirling
72,Manchester Maneaters,University of Manchester
73,Huddersfield...,University of Huddersfield
74,Newcastle Noobs,Newcastle University
75,Lboro Echos,Loughborough University
76,Broom Broom,University of Lincoln
77,Hallam Hawks,Sheffield Hallam University
78,50 Trent,Nottingham Trent University
79,Peter Gryphons,University of Leeds
80,Team 161,
81,Salford Lions OW,University of Salford
82,Liverpool Arctic...,University of Liverpool
83,Lankers C_hamps,Lancaster University
84,SuperCali,Glasgow Caledonian University
85,Cookies,Northumbria University
86,team number q,York St John University
87,Durham Traffic...,Durham University
88,five2manny,University of Manchester
89,Air Roll Awkward,University of Birmingham
90,Trentalicious,Nottingham Trent University
91,Team 183,
92,Keele Krakens D,Keele University
93,Liverpool Team B,University of Liverpool
