,Team 1,University
0,Roehampton...,Roehampton University
1,Exeter Emperors,University of Exeter
2,Warwick Unresolved,University of Warwick
3,Bourne Beach Boys,Bournemouth University
4,Team 9,
5,Warwick Dissolve,University of Warwick
6,Southampton Saver...,University of Southampton
7,Bathelona,University of Bath
8,Portsmouth...,University of Portsmouth
9,RocKenteers,University of Kent
10,CES Dragons,"City, University of London"
11,Bathletico Madrid,University of Bath
12,Plymouth Leviathans,University of Plymouth
13,Carspliff,Cardiff University
14,Aber Apes,Aberystwyth University
15,Surrey Stags,University of Surrey
16,UWE Sea Stags,University of the West of England
17,Perplexeter,University of Exeter
18,Sussex Sharks,University of Sussex
19,Portsmouth Potatoes,University of Portsmouth
20,Universally...,University of Southampton
21,Team 43,
22,Swansea Sausage...,Swansea University
23,Roehampton...,Roehampton University
24,Cardiff CBA,Cardiff University
25,Cambridge Ravens,University of Cambridge
26,Exeter Gently,University of Exeter
27,SVGE 69FPS,University of Southampton
28,Swansea Storm,Swansea University
29,Portsmouth Pancakes,University of Portsmouth
30,BSU,Bath Spa University
31,Winchester Wraiths,University of Winchester
32,UWE Sea Stags Black,University of the West of England
33,IC Trees of Green,Imperial College London
34,Cardiff Crusaders,Cardiff University
35,Kchung and the Krew,University of Southampton
36,Soton Sharks,University of Southampton
37,Bath Bombs,University of Bath
38,Warwick Dougie FC,University of Warwick
39,UOG Monsoon,University of Gloucestershire
40,UWL Wyverns,University of West London
41,Kent Kings,University of Kent
42,Warwick 163...,University of Warwick
43,Warwick Treeflop,University of Warwick
44,Warwick Wacky...,University of Warwick
45,The Peeping Toms,Coventry University
46,Portsmouth...,University of Portsmouth
47,London Legion,College of Esports
48,Reading Knights,University of Reading
49,Team 99,
50,Solent Seagulls,Southampton Solent University
51,UWE Sea Stags White,University of the West of England
52,KCL CHAOS,King's College London
53,Oxfor Brokes Vipas,Oxford Brookes University
54,UWE Sea Stags Red,University of the West of England
55,Soton Dez Nuts,University of Southampton
56,The Dirty Ducks...,University of Warwick
57,Portsmouth Plonkers,University of Portsmouth
58,0 Past 2,Imperial College London
59,Warwick Rolled,University of Warwick
60,Regain,University of Reading
61,KCL LIONS,King's College London
62,Surrey not surrey,University of Surrey
63,Swansea...,Swansea University
64,Portsmouth...,University of Portsmouth
65,Portsmouth Penguins,University of Portsmouth
66,nO U,Oxford University
67,RHUL Royal League,"Royal Holloway, University of London"
68,Soton Slayers,University of Southampton
69,UWE Sea Stags Hot...,University of the West of England
70,Northampton Knights,University of Northampton
71,Imperial March,Imperial College London
72,UCL Benthams Babes,University College London
73,Team 147,
74,Chicken Tikka Surrey,University of Surrey
75,IC Nothing Wrong...,Imperial College London
76,Touch ball Score...,Brunel University
77,Godiving into...,Coventry University
78,What do we think...,Bournemouth University
79,SussexThreshers,University of Sussex
80,Two Man Army,Swansea University
81,Hertfordshire Hares,University of Hertfordshire
82,Westminster Dragons,University of Westminster
83,Warwick Prime Oogway,University of Warwick
84,Team 169,
85,Cardiff Rats,Cardiff University
86,Winchester Wolves,University of Winchester
