,Team 1,University
0,Warwick Duckz,University of Warwick
1,QUBloodseekers,Queen's University Belfast
2,Team ACHILLESGOD...,Durham University
3,UCL Instant Reflex,University College London
4,LancVortex,Lancaster University
5,UWE Game Gamers,University of the West of England
6,Blood Bath,University of Bath
7,Sharkie,University of Sussex
8,Team 17,
9,Southampton or...,University of Southampton
10,Bullring of Health,University of Birmingham
11,Sheffield Samurai,University of Sheffield
12,UEA BlueJays,University of East Anglia
13,Hallam Hamsters,Sheffield Hallam University
14,St Andrews Dota 2,University of St Andrews
15,KCL Lions 2022,King's College London
16,UCL Alacrity,University College London
17,Liverpool Arctic...,University of Liverpool
18,Swansea Storm The...,Swansea University
19,Team 39,
20,Sand Kings...,King's College London
22,Blink Hexeter,University of Exeter
23,Staffordshire Sixers,Staffordshire University
24,Glasgow Glizzies,University of Glasgow
25,Imperial Bonobos,Imperial College London
26,Warwick Ducklings,University of Warwick
27,Lincoln Dota,University of Lincoln
28,Oxford Dota,Oxford University
29,Sheffield Shockwave,University of Sheffield
30,Loughborough Dota,Loughborough University
31,Team 63,
33,Sheffield Slugs,University of Sheffield
34,Cardiff Crusaders,Cardiff University
35,Burning Iguanas,University of York
36,Sheffield Shockwave,University of Sheffield
37,LancHurricane,Lancaster University
39,Plymouth Leviathans,University of Plymouth
40,Team 81,
41,Cockatrices,"City, University of London"
