,Team 1,University
0,UAL Unicorns,University of the Arts London
1,KCL Balls,King's College London
2,Team 5,
3,Cardiff Crusaders,Cardiff University
4,Cardiff Cavaliers,Cardiff University
5,Rift Assassins,University of Sussex
6,CES Dragons,"City, University of London"
8,OwOxford OwOwls,Oxford University
9,South Kensington...,Imperial College London
10,Imperial Bonobos,Imperial College London
11,Team 23,
12,Rios Piri Piri...,University of Warwick
13,Plymouth...,University of Plymouth
14,Team Diff,Brunel University
16,Jays Jaybirds,University of Bath
17,Height Impaired...,King's College London
18,Simperial,Imperial College London
19,bg,Queen Mary University of London
20,Big Bad Warwick,University of Warwick
21,Surrey Wardens,University of Surrey
22,Reading Knightsss,University of Reading
23,BUilt Different,Bournemouth University
24,Bath Salts,University of Bath
25,FLX Phoenix,FXU (Falmouth &amp; Exeter Student's Union)
26,Rift Clappers,University of Sussex
27,Bristol Bamboozles,University of Bristol
30,Team 61,
33,Voidlings,King's College London
34,Bristol Boosted,University of Bristol
35,Reading baddest...,University of Reading
36,UWE Sea Stags,University of the West of England
37,Stand Our Ground,Bournemouth University
38,EXEperiencing Pain,University of Exeter
39,number 1 victory...,Coventry University
40,UWE Sea Stags Black,University of the West of England
41,Plymouth...,University of Plymouth
42,Firefang Warwick,University of Warwick
43,Swansea Tempest,Swansea University
44,Plymouth...,University of Plymouth
45,in your walls,University of Northampton
46,Plymouth...,University of Plymouth
47,Pot of Greed,University of South Wales
48,Southamptons...,University of Southampton
49,Match #90960 Winner,
50,Match #90961 Winner,
51,We Dont Care,Coventry University
52,Lprio,Brunel University
53,SoloQMUL,Queen Mary University of London
54,RoyalBears,"Royal Holloway, University of London"
55,UOG Contenders,University of Gloucestershire
56,Surreyender at 15,University of Surrey
57,CES Hydras,"City, University of London"
58,Team 117,
59,Gray Warwick,University of Warwick
60,EXEtension Cord,University of Exeter
61,BCU Underdogs,Birmingham City University
62,Cardiff Canaries,Cardiff University
63,Cambridge Ravens B,University of Cambridge
64,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
65,Jhinchester...,University of Winchester
68,Swansea Little...,Swansea University
69,Iron Forged,University of Kent
70,Feral Warwick,University of Warwick
71,Iron Swan Wings_ISW,Swansea University
72,OBG Cassiopias boots,Oxford Brookes University
73,GrindSett,University of Hertfordshire
74,Silver Warriors,Brunel University
75,No Aim No Brain,University of Plymouth
76,Solent Crackheads,Southampton Solent University
77,Tech Park Tyrants,University of Chichester
78,Essex Team 2,University of Essex
79,Surrely we wont lose,University of Surrey
80,Oxford Integrals,Oxford University
81,Roehampton Gnomes,Roehampton University
82,Team 165,
83,For Fun Warwick,University of Warwick
84,Crazy Big Damage,University of Southampton
85,UWL Wyverns,University of West London
86,OrnnHub,"Royal Holloway, University of London"
87,Marauder Warwick,University of Warwick
88,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
89,UAL UNICORNS 2,University of the Arts London
90,Cardiff Conquerors,Cardiff University
91,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
92,Team 185,
93,Team 1,King's College London
