,Team 1,University
0,UCL Exodus,University College London
1,Bristol Bottoms,University of Bristol
2,EXE Machina,University of Exeter
3,Grey Warwick,University of Warwick
4,Team 9,
5,APT,London School of Economics
6,Jheigar,University of Southampton
7,Alis acrack addicts,University of Bath
8,The Germs,University of Kent
9,Surrey Stags,University of Surrey
10,Roehampton Fairies,Roehampton University
11,SVGE Team 2,University of Southampton
12,OwOxford OwOwls,Oxford University
13,Cardiff Crusaders,Cardiff University
14,Definitely Not...,University of Warwick
15,Kent Cuties,University of Kent
16,Bristol Bamboozles,University of Bristol
17,2nd Week Worlds FNC,King's College London
18,Nothing Like Come...,University of Warwick
19,Westminster...,University of Westminster
20,Team Diff,Brunel University
21,Team 43,
22,Cardiff Cavaliers,Cardiff University
23,Demolition,University of Hertfordshire
24,Big Bad Warwick,University of Warwick
25,RoyalBears,"Royal Holloway, University of London"
26,Reading Knightsss,University of Reading
27,CES Hydras,"City, University of London"
28,Imperial Bonobos,Imperial College London
29,Kent Berserkes,University of Kent
30,FLX Phoenix,FXU (Falmouth &amp; Exeter Student's Union)
31,KCL Balls,King's College London
32,Jays Jaybirds,University of Bath
33,UAL Unicorns,University of the Arts London
34,Southamptons...,University of Southampton
35,UWE Sea Stags,University of the West of England
36,number 1 victory...,Coventry University
37,Bristol Boosted,University of Bristol
38,CES Dragons,"City, University of London"
39,Cov Uni,Coventry University
40,bg,Queen Mary University of London
41,Kamikwasi,University of Cambridge
42,EXEperiencing Pain,University of Exeter
43,Height Impaired...,King's College London
44,Surrey Wardens,University of Surrey
45,Gray Warwick,University of Warwick
46,Rios Piri Piri...,University of Warwick
47,Iron Swan Wings_ISW,Swansea University
48,SVGE Team 4,University of Southampton
49,UCL DragonZeroElo,University College London
50,Team Tapped,University of Kent
51,Lprio,Brunel University
52,Feral Warwick,University of Warwick
53,Team 107,
54,Jhinchester...,University of Winchester
55,Stand Our Ground,Bournemouth University
56,SUPP DIFF,Roehampton University
57,Bath Salts,University of Bath
58,shush,King's College London
59,Plymouth...,University of Plymouth
60,Rift Clappers,University of Sussex
61,Firefang Warwick,University of Warwick
62,BUilt Different,Bournemouth University
63,South Kensington...,Imperial College London
64,BCU Underdogs,Birmingham City University
65,Cardiff Canaries,Cardiff University
66,ESSEX TEAM 1,University of Essex
67,Bournemouth Drakes,Bournemouth University
68,Yuu and Mi,Royal Veterinary College
69,Silver Warriors,Brunel University
70,Roehampton Gnomes,Roehampton University
71,Rift Assassins,University of Sussex
72,Plymouth...,University of Plymouth
73,Westminster...,University of Westminster
74,Crazy Big Damage,University of Southampton
75,Simperial,Imperial College London
76,in your walls,University of Northampton
77,Cardiff Conquerors,Cardiff University
78,Portsmouth Poros,University of Portsmouth
79,Kent Goats,University of Kent
80,EXEtension Cord,University of Exeter
81,Swansea Tempest,Swansea University
82,Cambridge Ravens B,University of Cambridge
83,UWE Sea Stags Black,University of the West of England
84,Bath PeaShooters,University of Bath
85,OrnnHub,"Royal Holloway, University of London"
86,UWE Sea Stags Red...,University of the West of England
87,For Fun Warwick,University of Warwick
88,Oxford Integrals,Oxford University
89,Reading baddest...,University of Reading
90,Team 181,
91,Surrely we wont lose,University of Surrey
92,UAL UNICORNS 2,University of the Arts London
93,We Dont Care,Coventry University
94,UWL Wyverns,University of West London
95,GrindSett,University of Hertfordshire
96,Voidlings,King's College London
97,UOG Contenders,University of Gloucestershire
98,Plymouth...,University of Plymouth
99,The HardStucks,Kingston University
100,Solent Crackheads,Southampton Solent University
101,OBG Cassiopias boots,Oxford Brookes University
102,Marauder Warwick,University of Warwick
103,Surreyender at 15,University of Surrey
104,Plymouth...,University of Plymouth
105,No Aim No Brain,University of Plymouth
106,God Favourite,Queen Mary University of London
107,Bedford bulls,University of Bedfordshire
108,Essex Team 2,University of Essex
109,Tech Park Tyrants,University of Chichester
110,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
111,Swansea Little...,Swansea University
112,Iron Forged,University of Kent
113,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
114,Team 1,King's College London
115,Team 231,
116,UWE Sea Stags...,University of the West of England
117,Pot of Greed,University of South Wales
118,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
119,Brighton T3,University of Brighton
120,Owls 2,Oxford University
121,Owls,Oxford University
